epoch,background_mse_component,background_prediction_mean,body_mse_component,body_prediction_mean,gravity_loss,high_sensitivity_mse,iou_loss,loss,low_sensitivity_mse,prediction_fraction_above_1e_4,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,sensitivity_loss,val_background_mse_component,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_gravity_loss,val_high_sensitivity_mse,val_iou_loss,val_loss,val_low_sensitivity_mse,val_prediction_fraction_above_1e_4,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation,val_sensitivity_loss
1,0.032818105071783066,0.07352885603904724,0.07735686004161835,0.5387771725654602,66.13227844238281,0.050342708826065063,0.9877272844314575,1.0419329404830933,0.01571456901729107,0.2319829761981964,0.6804587841033936,0.07584451138973236,0.0,0.168814554810524,0.054205697029829025,0.01812037080526352,0.04002004489302635,0.059731315821409225,0.5097211599349976,10.129454612731934,0.032438889145851135,0.9851417541503906,1.0235657691955566,0.004274436738342047,0.11280324310064316,0.6804587841033936,0.04251428321003914,0.0,0.13296960294246674,0.03842395171523094
2,0.02592354267835617,0.04995331913232803,0.05036437511444092,0.5967659950256348,16.074872970581055,0.04458504915237427,0.9860162138938904,1.0232576131820679,0.007438611704856157,0.12643520534038544,0.7616879343986511,0.052674926817417145,0.0,0.1576835811138153,0.037241071462631226,0.023969125002622604,0.047661192715168,0.04532971978187561,0.5767135620117188,14.419798851013184,0.04168345406651497,0.985049307346344,1.0189387798309326,0.006489490158855915,0.12142150849103928,0.7616879343986511,0.05047060176730156,0.0,0.15207821130752563,0.03388967737555504
3,0.02557385340332985,0.048329003155231476,0.04795293137431145,0.6016314029693604,15.291751861572266,0.044441502541303635,0.9857871532440186,1.0216370820999146,0.006874317303299904,0.11605328321456909,0.7857403755187988,0.051082976162433624,0.0,0.15720069408416748,0.03585176169872284,0.01729833520948887,0.03630109876394272,0.05326934903860092,0.5430833101272583,8.726919174194336,0.02985333278775215,0.9843460321426392,1.019108772277832,0.005094919819384813,0.09865417331457138,0.7857403755187988,0.038992252200841904,0.0,0.13168743252754211,0.03476264327764511
4,0.02124367281794548,0.03890758380293846,0.04551749303936958,0.6135240793228149,11.04564380645752,0.036145590245723724,0.9850731492042542,1.0177534818649292,0.0065253982320427895,0.08968430757522583,0.8072781562805176,0.04176757484674454,0.0,0.14609959721565247,0.03268124535679817,0.01903650537133217,0.033276695758104324,0.039711110293865204,0.6352019309997559,8.75798511505127,0.031954385340213776,0.9837962985038757,1.0126252174377441,0.006351981312036514,0.07350768893957138,0.8072781562805176,0.03647307679057121,0.0,0.1408032923936844,0.028829023241996765
5,0.01951134391129017,0.03588743507862091,0.044419873505830765,0.6188915967941284,9.721589088439941,0.032828427851200104,0.9848372340202332,1.0161811113357544,0.0063957036472857,0.083608478307724,0.7398540377616882,0.03878917545080185,0.0,0.14101505279541016,0.031343426555395126,0.013517017476260662,0.02776467055082321,0.050539951771497726,0.547086775302887,5.97197151184082,0.022606167942285538,0.9839085340499878,1.0156075954437256,0.004788342863321304,0.07364298403263092,0.7398540377616882,0.030522404238581657,0.0,0.11909718066453934,0.03169872239232063
6,0.018060417845845222,0.0328759104013443,0.043590810149908066,0.6185086369514465,8.534939765930176,0.03032725490629673,0.984722912311554,1.0150014162063599,0.006000062916427851,0.07640596479177475,0.8286358118057251,0.03579075634479523,0.0,0.136610746383667,0.03027932718396187,0.019683780148625374,0.0343889556825161,0.039767250418663025,0.641322135925293,9.18412971496582,0.032636187970638275,0.9837554693222046,1.0129117965698242,0.00703783193603158,0.07516906410455704,0.8286358118057251,0.03761192783713341,0.0,0.14288949966430664,0.02915644459426403
7,0.01712110824882984,0.031042344868183136,0.04242255166172981,0.6197687387466431,7.758159637451172,0.028623908758163452,0.9845834970474243,1.0138424634933472,0.0058275870978832245,0.0721098855137825,0.8180744051933289,0.03397262096405029,0.0,0.13366052508354187,0.029259249567985535,0.019930850714445114,0.03472829982638359,0.03803492709994316,0.6505159139633179,9.627016067504883,0.03302141651511192,0.9837909936904907,1.0122474431991577,0.007066570688039064,0.07609140872955322,0.8180744051933289,0.037998300045728683,0.0,0.14385180175304413,0.02845665253698826
8,0.016817275434732437,0.03041738085448742,0.04269890859723091,0.6215074062347412,7.527461051940918,0.02803092636168003,0.9845303893089294,1.013811707496643,0.005822410807013512,0.0712028294801712,0.8151180148124695,0.03335944935679436,0.0,0.13271531462669373,0.029281379655003548,0.013491194695234299,0.025359442457556725,0.04632086679339409,0.5872483849525452,5.450686454772949,0.022736242040991783,0.9835875034332275,1.0131499767303467,0.004605484660714865,0.06159505248069763,0.8151180148124695,0.02834322303533554,0.0,0.12058275938034058,0.029562463983893394
9,0.017074083909392357,0.03135969489812851,0.04198738560080528,0.6185370683670044,7.908658504486084,0.028631992638111115,0.9845901131629944,1.0136473178863525,0.005730118602514267,0.07370641082525253,0.8052281737327576,0.03428225219249725,0.0,0.13337193429470062,0.029057243838906288,0.016241557896137238,0.028424734249711037,0.04269343242049217,0.6299630403518677,6.6995439529418945,0.028704669326543808,0.9836161136627197,1.0126910209655762,0.0041543273255229,0.06365162879228592,0.8052281737327576,0.03161906078457832,0.0,0.1317920684814453,0.029074950143694878
10,0.01629743166267872,0.02951357141137123,0.041802551597356796,0.6208409070968628,7.222526550292969,0.027108551934361458,0.9844979047775269,1.013114333152771,0.005705694202333689,0.06894520670175552,0.7918601036071777,0.03245678171515465,0.0,0.1309584677219391,0.028616610914468765,0.014734032563865185,0.02733546309173107,0.041120853275060654,0.608614981174469,6.368578910827637,0.025169791653752327,0.983660101890564,1.0112746953964233,0.004603470675647259,0.0663515254855156,0.7918601036071777,0.030422214418649673,0.0,0.1256529986858368,0.027614492923021317
