experiment,sample_id,sample_path,prediction_path,mse,mae,correlation,iou,dice,true_occupied_cells,predicted_occupied_cells,volume_ratio,true_mass_proxy,predicted_mass_proxy,mass_ratio,true_body_mean_density,predicted_mean_density_in_true_body,peak_predicted_density,true_top_depth_m,true_bottom_depth_m,true_thickness_m,true_width_x_m,true_width_y_m,true_center_x_m,true_center_y_m,gravity_mse,gravity_rmse,gravity_mae,gravity_relative_l2,gravity_correlation,gravity_max_abs_residual,gravity_mean_residual,gravity_residual_std,manifest_top_depth_m,manifest_thickness_m,predicted_top_depth_m,top_depth_error_m,absolute_top_depth_error_m,predicted_bottom_depth_m,bottom_depth_error_m,absolute_bottom_depth_error_m,predicted_thickness_m,thickness_error_m,absolute_thickness_error_m,predicted_width_x_m,width_x_error_m,absolute_width_x_error_m,predicted_width_y_m,width_y_error_m,absolute_width_y_error_m,predicted_center_x_m,predicted_center_y_m,lateral_center_error_m
E05,sample_000796,samples/sample_000796.npz,sample_000796_prediction.npz,0.01642467826604843,0.03471913933753967,0.3138180918931396,0.09007881896659577,0.16527028577986916,720,7993,11.10138888888889,233.237042427063,3646.186974756898,15.632966945621941,0.32394033670425415,0.5091685351398256,0.6247381567955017,40.0,70.0,30.0,150.0,160.0,175.0,170.0,0.06870543179989849,0.26211721004142113,0.14921639559868966,7.989367990175929,0.9560531653518126,1.0696468521216227,0.14921639559868966,0.21549918580921332,40.0,30.0,20.0,-20.0,20.0,240.0,170.0,170.0,220.0,190.0,190.0,240.0,90.0,90.0,220.0,60.0,60.0,190.0,180.0,18.027756377319946
E05,sample_001763,samples/sample_001763.npz,sample_001763_prediction.npz,0.011239723302423954,0.02256091497838497,0.28589182764511045,0.05707297187117815,0.10798303123794832,280,4906,17.521428571428572,142.34578132629395,2360.146296245155,16.580374031844887,0.5083777904510498,0.6018764497978347,0.6464431285858154,40.0,110.0,70.0,80.0,50.0,510.0,495.0,0.03542610190627225,0.18821822947385372,0.09699048460378899,9.602697579005236,0.9130247681375544,0.9439655434297098,0.09699048460378899,0.1613038989069837,40.0,70.0,10.0,-30.0,30.0,230.0,120.0,120.0,220.0,150.0,150.0,180.0,100.0,100.0,170.0,120.0,120.0,480.0,475.0,36.05551275463989
E05,sample_000998,samples/sample_000998.npz,sample_000998_prediction.npz,0.006821356248110533,0.018984118476510048,0.3497496923689043,0.08424507658643327,0.15539858728557013,462,5484,11.87012987012987,163.88124418258667,2028.8652312985039,12.380094143281362,0.3547213077545166,0.4562628512065132,0.5191108584403992,80.0,110.0,30.0,110.0,140.0,235.0,380.0,0.024176574228021434,0.15548818034828704,0.08559840517441938,9.553439015316696,0.9950868556160989,0.7503674228723154,0.08559840517441938,0.12980557484028707,80.0,30.0,20.0,-60.0,60.0,240.0,130.0,130.0,220.0,190.0,190.0,180.0,70.0,70.0,190.0,50.0,50.0,240.0,375.0,7.0710678118654755
E05,sample_001629,samples/sample_001629.npz,sample_001629_prediction.npz,0.011618539690971375,0.025465011596679688,0.3571596251495098,0.08112023177209078,0.15006699419383654,504,6213,12.327380952380953,287.289128780365,2784.070244662974,9.690830476190484,0.5700181126594543,0.5862932873387185,0.6104876399040222,70.0,130.0,60.0,60.0,140.0,440.0,210.0,0.04062831811989458,0.2015646747818044,0.11231038429780603,7.128245968947368,0.9900198466156912,0.9108272490467713,0.11231038429780603,0.16737591134561058,70.0,60.0,20.0,-50.0,50.0,230.0,100.0,100.0,210.0,150.0,150.0,170.0,110.0,110.0,230.0,90.0,90.0,435.0,205.0,7.0710678118654755
E05,sample_001922,samples/sample_001922.npz,sample_001922_prediction.npz,0.019248442724347115,0.034028060734272,0.3897185352998313,0.11000293341155765,0.1982029598308668,750,6818,9.090666666666667,600.9497344493866,3774.102003279555,6.280229088939582,0.8012663125991821,0.6866381134986878,0.7289323806762695,60.0,110.0,50.0,150.0,100.0,455.0,270.0,0.06439250722627583,0.25375678754720205,0.14318261641446092,3.8450103074401483,0.9865876652397342,1.0926942202793017,0.14318261641446092,0.20950237607956904,60.0,50.0,10.0,-50.0,50.0,220.0,110.0,110.0,210.0,160.0,160.0,230.0,80.0,80.0,170.0,70.0,70.0,445.0,275.0,11.180339887498949
E05,sample_001409,samples/sample_001409.npz,sample_001409_prediction.npz,0.009167001582682133,0.014497014693915844,0.34707564016733417,0.08658678005411674,0.15937388829598007,224,2587,11.549107142857142,206.4456329345703,1552.997023720184,7.5225472277845755,0.9216322898864746,0.7462683796350446,0.8977651596069336,20.0,90.0,70.0,40.0,80.0,480.0,290.0,0.01591394985589188,0.12615050477858533,0.061990367532807705,3.213396943178155,0.9037872665636552,0.8302395725571705,0.061990367532807705,0.10986875893100502,20.0,70.0,20.0,0.0,0.0,220.0,130.0,130.0,200.0,130.0,130.0,130.0,90.0,90.0,130.0,50.0,50.0,455.0,295.0,25.495097567963924
E05,sample_000992,samples/sample_000992.npz,sample_000992_prediction.npz,0.012320811860263348,0.01999007910490036,0.48257970751756046,0.18889465490399585,0.31776516804888694,728,3854,5.293956043956044,443.7051453590393,2408.095028452012,5.427241612227459,0.6094850897789001,0.7192200352693652,0.8578747510910034,20.0,100.0,80.0,70.0,130.0,395.0,215.0,0.027065194650460398,0.16451502864620118,0.08952788509043873,2.314031609006195,0.9492494519601395,0.8228995296044563,0.08952788509043873,0.1380215651327487,20.0,80.0,20.0,0.0,0.0,220.0,120.0,120.0,200.0,120.0,120.0,130.0,60.0,60.0,190.0,60.0,60.0,385.0,225.0,14.142135623730951
E05,sample_002128,samples/sample_002128.npz,sample_002128_prediction.npz,0.0038478514179587364,0.010386005975306034,0.3543107385150576,0.07389989922741015,0.1376290272130122,220,2977,13.531818181818181,101.6027420759201,1117.9514525271672,11.00316221477375,0.46183064579963684,0.5005736295472492,0.575664758682251,60.0,100.0,40.0,50.0,110.0,295.0,285.0,0.00779447125796774,0.0882863027766354,0.046965806737494585,7.08208078834274,0.9921415567306896,0.5079700189054247,0.046965806737494585,0.07475750300447472,60.0,40.0,20.0,-40.0,40.0,240.0,140.0,140.0,220.0,180.0,180.0,120.0,70.0,70.0,150.0,40.0,40.0,300.0,295.0,11.180339887498949
E05,sample_001888,samples/sample_001888.npz,sample_001888_prediction.npz,0.011158697307109833,0.023081190884113312,0.3409123014536517,0.07331264546159814,0.1366100469822913,378,5156,13.640211640211641,311.36883294582367,2428.525525442343,7.799513851358695,0.8237270712852478,0.6229116331647944,0.6454350352287292,70.0,140.0,70.0,90.0,60.0,355.0,480.0,0.032036782095372036,0.17898821775572837,0.09599348009597082,5.902858357419334,0.9878926878756876,0.8669911221858333,0.09599348009597082,0.15106963253558436,70.0,70.0,20.0,-50.0,50.0,230.0,90.0,90.0,210.0,140.0,140.0,170.0,80.0,80.0,180.0,120.0,120.0,345.0,470.0,14.142135623730951
E05,sample_001536,samples/sample_001536.npz,sample_001536_prediction.npz,0.011867995373904705,0.021393226459622383,0.3008555913760277,0.066746126340882,0.12513966480446928,280,4195,14.982142857142858,223.28286409378052,2244.9556637381456,10.054312375692417,0.7974388003349304,0.6521403438278607,0.7102802991867065,40.0,80.0,40.0,70.0,100.0,455.0,380.0,0.030259786606440037,0.17395340354945643,0.09238191093940003,4.943726242459467,0.9473312422128937,0.90260895580849,0.09238191093940003,0.14739528193814347,40.0,40.0,20.0,-20.0,20.0,220.0,140.0,140.0,200.0,160.0,160.0,160.0,90.0,90.0,170.0,70.0,70.0,440.0,375.0,15.811388300841896
