sample_id,E05_mse,E05_mae,E05_iou,E05_dice,E05_volume_ratio,E05_mass_ratio,E05_absolute_top_depth_error_m,E05_absolute_bottom_depth_error_m,E05_absolute_thickness_error_m,E05_gravity_rmse,E06_mse,E06_mae,E06_iou,E06_dice,E06_volume_ratio,E06_mass_ratio,E06_absolute_top_depth_error_m,E06_absolute_bottom_depth_error_m,E06_absolute_thickness_error_m,E06_gravity_rmse,E07_mse,E07_mae,E07_iou,E07_dice,E07_volume_ratio,E07_mass_ratio,E07_absolute_top_depth_error_m,E07_absolute_bottom_depth_error_m,E07_absolute_thickness_error_m,E07_gravity_rmse,E05_to_E06_mse_change,E05_to_E06_mae_change,E05_to_E06_iou_change,E05_to_E06_dice_change,E05_to_E06_volume_ratio_change,E05_to_E06_mass_ratio_change,E05_to_E06_absolute_top_depth_error_m_change,E05_to_E06_absolute_bottom_depth_error_m_change,E05_to_E06_absolute_thickness_error_m_change,E05_to_E06_gravity_rmse_change,E06_to_E07_mse_change,E06_to_E07_mae_change,E06_to_E07_iou_change,E06_to_E07_dice_change,E06_to_E07_volume_ratio_change,E06_to_E07_mass_ratio_change,E06_to_E07_absolute_top_depth_error_m_change,E06_to_E07_absolute_bottom_depth_error_m_change,E06_to_E07_absolute_thickness_error_m_change,E06_to_E07_gravity_rmse_change,E05_to_E07_mse_change,E05_to_E07_mae_change,E05_to_E07_iou_change,E05_to_E07_dice_change,E05_to_E07_volume_ratio_change,E05_to_E07_mass_ratio_change,E05_to_E07_absolute_top_depth_error_m_change,E05_to_E07_absolute_bottom_depth_error_m_change,E05_to_E07_absolute_thickness_error_m_change,E05_to_E07_gravity_rmse_change
sample_000796,0.01642467826604843,0.03471913933753967,0.09007881896659577,0.16527028577986916,11.10138888888889,15.632966945621941,20.0,170.0,190.0,0.26211721004142113,0.0023044489789754152,0.00864411797374487,0.20594965675057209,0.3415559772296015,4.855555555555555,4.57906622988372,20.0,60.0,80.0,0.09337612677572223,0.0034316962119191885,0.010039068758487701,0.22079116835326587,0.3617181612660136,4.529166666666667,5.139195919008051,20.0,90.0,110.0,0.09731677935234628,-0.014120229287073016,-0.026075021363794804,0.11587083778397632,0.17628569144973236,-6.2458333333333345,-11.053900715738221,0.0,-110.0,-110.0,-0.16874108326569892,0.0011272472329437733,0.0013949507847428322,0.014841511602693785,0.020162184036412067,-0.3263888888888884,0.5601296891243308,0.0,30.0,30.0,0.003940652576624057,-0.012992982054129243,-0.02468007057905197,0.1307123493866701,0.19644787548614442,-6.572222222222223,-10.49377102661389,0.0,-80.0,-80.0,-0.16480043068907485
sample_001763,0.011239723302423954,0.02256091497838497,0.05707297187117815,0.10798303123794832,17.521428571428572,16.580374031844887,30.0,120.0,150.0,0.18821822947385372,0.006014909129589796,0.011291193775832653,0.11447260834014718,0.20542920029347028,8.735714285714286,8.786072917093804,20.0,30.0,50.0,0.12872511939961864,0.004123410675674677,0.008869895711541176,0.1276207839562443,0.22635408245755861,7.835714285714285,7.114405718626969,20.0,40.0,60.0,0.10655906515584443,-0.005224814172834158,-0.011269721202552319,0.05739963646896903,0.09744616905552196,-8.785714285714286,-7.794301114751082,-10.0,-90.0,-100.0,-0.05949311007423508,-0.0018914984539151192,-0.002421298064291477,0.013148175616097116,0.020924882164088332,-0.9000000000000004,-1.6716671984668352,0.0,10.0,10.0,-0.022166054243774214,-0.007116312626749277,-0.013691019266843796,0.07054781208506614,0.1183710512196103,-9.685714285714287,-9.465968313217918,-10.0,-80.0,-90.0,-0.08165916431800929
sample_000998,0.006821356248110533,0.018984118476510048,0.08424507658643327,0.15539858728557013,11.87012987012987,12.380094143281362,60.0,130.0,190.0,0.15548818034828704,0.0018961509922519326,0.007208662107586861,0.16359773371104816,0.28119293974437004,6.112554112554113,5.318595132282388,30.0,50.0,80.0,0.06171502306018569,0.0026735635474324226,0.008131482638418674,0.18110544884359076,0.30667109193494857,5.521645021645021,5.871593053021588,40.0,50.0,90.0,0.07031289334129323,-0.0049252052558586,-0.011775456368923187,0.0793526571246149,0.1257943524587999,-5.757575757575758,-7.061499010998974,-30.0,-80.0,-110.0,-0.09377315728810134,0.00077741255518049,0.0009228205308318138,0.017507715132542595,0.02547815219057853,-0.5909090909090917,0.5529979207392,10.0,0.0,10.0,0.00859787028110754,-0.00414779270067811,-0.010852635838091373,0.09686037225715749,0.15127250464937844,-6.3484848484848495,-6.508501090259774,-20.0,-80.0,-100.0,-0.08517528700699381
sample_001629,0.011618539690971375,0.025465011596679688,0.08112023177209078,0.15006699419383654,12.327380952380953,9.690830476190484,50.0,100.0,150.0,0.2015646747818044,0.005496627185493708,0.011227012611925602,0.1785967399007796,0.30306674684305474,5.599206349206349,4.836886334958047,20.0,30.0,50.0,0.10051210814165039,0.00554371252655983,0.012323937378823757,0.15745079662605435,0.2720647773279352,6.351190476190476,5.204015954349476,40.0,30.0,70.0,0.11770302330739076,-0.006121912505477667,-0.014237998984754086,0.09747650812868881,0.1529997526492182,-6.728174603174604,-4.853944141232438,-30.0,-70.0,-100.0,-0.10105256664015401,4.7085341066122055e-05,0.0010969247668981552,-0.021145943274725243,-0.03100196951511952,0.7519841269841274,0.3671296193914291,20.0,0.0,20.0,0.017190915165740367,-0.006074827164411545,-0.01314107421785593,0.07633056485396357,0.12199778313409868,-5.976190476190476,-4.4868145218410085,-10.0,-70.0,-80.0,-0.08386165147441364
sample_001922,0.019248442724347115,0.034028060734272,0.11000293341155765,0.1982029598308668,9.090666666666667,6.280229088939582,50.0,110.0,160.0,0.25375678754720205,0.007709642872214317,0.01416896004229784,0.22334723049434188,0.36514118792599803,4.477333333333333,3.1193566065422744,40.0,40.0,80.0,0.12430368877449212,0.0067204018123447895,0.012683750130236149,0.23786869647954328,0.3843197540353574,4.204,2.9017328933677655,40.0,50.0,90.0,0.11885417631465961,-0.011538799852132797,-0.019859100691974163,0.11334429708278423,0.16693822809513123,-4.613333333333334,-3.160872482397308,-10.0,-70.0,-80.0,-0.12945309877270994,-0.0009892410598695278,-0.0014852099120616913,0.014521465985201404,0.019178566109359363,-0.27333333333333343,-0.2176237131745089,0.0,10.0,10.0,-0.005449512459832509,-0.012528040912002325,-0.021344310604035854,0.12786576306798564,0.1861167942044906,-4.886666666666668,-3.3784961955718167,-10.0,-60.0,-70.0,-0.13490261123254244
sample_001409,0.009167001582682133,0.014497014693915844,0.08658678005411674,0.15937388829598007,11.549107142857142,7.5225472277845755,0.0,130.0,130.0,0.12615050477858533,0.008504225872457027,0.011263838969171047,0.12770809578107184,0.22649140546006066,7.830357142857143,6.269585670180981,20.0,20.0,40.0,0.15997220321580172,0.00426081009209156,0.00640549510717392,0.1830065359477124,0.30939226519337015,5.464285714285714,3.898642916033547,0.0,30.0,30.0,0.08960487881830226,-0.0006627757102251053,-0.0032331757247447968,0.0411213157269551,0.0671175171640806,-3.718749999999999,-1.2529615576035944,20.0,-110.0,-90.0,0.033821698437216385,-0.004243415780365467,-0.0048583438619971275,0.05529844016664057,0.08290085973330949,-2.366071428571429,-2.370942754147434,-20.0,10.0,-10.0,-0.07036732439749946,-0.004906191490590572,-0.008091519586741924,0.09641975589359567,0.1500183768973901,-6.084821428571428,-3.6239043117510286,0.0,-100.0,-100.0,-0.036545625960283074
sample_000992,0.012320811860263348,0.01999007910490036,0.18889465490399585,0.31776516804888694,5.293956043956044,5.427241612227459,0.0,120.0,120.0,0.16451502864620118,0.004136090632528067,0.0075831287540495396,0.36879432624113473,0.538860103626943,2.7115384615384617,2.5604922572033173,20.0,0.0,20.0,0.10043083290867111,0.002583095571026206,0.005717578809708357,0.4034406215316315,0.5749308026888098,2.473901098901099,2.17336318998572,0.0,20.0,20.0,0.07187255320288055,-0.008184721227735281,-0.01240695035085082,0.17989967133713888,0.2210949355780561,-2.582417582417582,-2.866749355024142,20.0,-120.0,-100.0,-0.06408419573753008,-0.0015529950615018606,-0.0018655499443411827,0.03464629529049679,0.03607069906186677,-0.23763736263736268,-0.3871290672175971,-20.0,20.0,0.0,-0.028558279705790557,-0.009737716289237142,-0.014272500295192003,0.21454596662763567,0.25716563463992287,-2.820054945054945,-3.253878422241739,0.0,-100.0,-100.0,-0.09264247544332063
sample_002128,0.0038478514179587364,0.010386005975306034,0.07389989922741015,0.1376290272130122,13.531818181818181,11.00316221477375,40.0,140.0,180.0,0.0882863027766354,0.001615346991457045,0.004987043794244528,0.12948793407886994,0.2292860865033872,7.722727272727273,5.7830733058725565,20.0,40.0,60.0,0.05312990624661618,0.0008691070252098143,0.003023632103577256,0.19730941704035873,0.3295880149812734,5.068181818181818,3.887990426648424,30.0,50.0,80.0,0.03503749786280305,-0.0022325044265016913,-0.005398962181061506,0.055588034851459786,0.09165705929037499,-5.809090909090909,-5.220088908901194,-20.0,-100.0,-120.0,-0.03515639653001922,-0.0007462399662472308,-0.0019634116906672716,0.0678214829614888,0.10030192847788619,-2.6545454545454543,-1.8950828792241325,10.0,10.0,20.0,-0.01809240838381313,-0.002978744392748922,-0.007362373871728778,0.12340951781294858,0.19195898776826117,-8.463636363636363,-7.115171788125327,-10.0,-90.0,-100.0,-0.053248804913832354
sample_001888,0.011158697307109833,0.023081190884113312,0.07331264546159814,0.1366100469822913,13.640211640211641,7.799513851358695,50.0,90.0,140.0,0.17898821775572837,0.008032628335058689,0.012867859564721584,0.1487603305785124,0.2589928057553957,6.722222222222222,4.90298190259927,30.0,30.0,60.0,0.11129120877486506,0.006744697690010071,0.012132436037063599,0.14130841121495327,0.247625286603341,7.076719576719577,4.732908552062614,40.0,20.0,60.0,0.11776747116565124,-0.0031260689720511436,-0.010213331319391727,0.07544768511691426,0.1223827587731044,-6.917989417989419,-2.896531948759425,-20.0,-60.0,-80.0,-0.06769700898086331,-0.0012879306450486183,-0.0007354235276579857,-0.0074519193635591285,-0.011367519152054695,0.3544973544973544,-0.17007335053665518,10.0,-10.0,0.0,0.006476262390786178,-0.004413999617099762,-0.010948754847049713,0.06799576575335513,0.1110152396210497,-6.563492063492064,-3.0666052992960804,-10.0,-70.0,-80.0,-0.06122074659007713
sample_001536,0.011867995373904705,0.021393226459622383,0.066746126340882,0.12513966480446928,14.982142857142858,10.054312375692417,20.0,140.0,160.0,0.17395340354945643,0.004770589992403984,0.009454918093979359,0.12968967114404817,0.22960229602296023,7.710714285714285,4.885797775002524,40.0,50.0,90.0,0.1157023778421451,0.0037757002282887697,0.00785138364881277,0.14606155451225875,0.25489303595812474,6.8464285714285715,4.170301165495591,20.0,60.0,80.0,0.09201949914406322,-0.007097405381500721,-0.011938308365643024,0.06294354480316616,0.10446263121849095,-7.271428571428572,-5.168514600689893,20.0,-90.0,-70.0,-0.05825102570731133,-0.0009948897641152143,-0.0016035344451665878,0.016371883368210577,0.025290739935164508,-0.8642857142857139,-0.7154966095069328,-20.0,10.0,-10.0,-0.023682878698081875,-0.008092295145615935,-0.013541842810809612,0.07931542817137674,0.12975337115365546,-8.135714285714286,-5.884011210196826,0.0,-80.0,-80.0,-0.08193390440539321
sample_000503,0.006551090162247419,0.017620861530303955,0.018947368421052633,0.0371900826446281,52.77777777777778,20.909603855680803,50.0,150.0,200.0,0.13967450682204072,0.003761355532333255,0.009572699666023254,0.03487020534676482,0.06739049045301385,28.677777777777777,11.607140311320931,30.0,60.0,90.0,0.08953507882131942,0.0026894044131040573,0.007478699553757906,0.044709388971684055,0.08559201141226819,22.366666666666667,9.06783094759643,40.0,70.0,110.0,0.07346820972449063,-0.0027897346299141645,-0.0080481618642807,0.015922836925712187,0.030200407808385746,-24.1,-9.302463544359872,-20.0,-90.0,-110.0,-0.0501394280007213,-0.0010719511192291975,-0.0020940001122653484,0.009839183624919236,0.01820152095925434,-6.31111111111111,-2.5393093637245006,10.0,10.0,20.0,-0.016066869096828792,-0.003861685749143362,-0.010142161976546049,0.025762020550631422,0.04840192876764009,-30.41111111111111,-11.841772908084373,-10.0,-80.0,-90.0,-0.06620629709755009
sample_001208,0.00678987754508853,0.012680638581514359,0.07061592781482935,0.131916452913155,14.161111111111111,12.535931184742996,0.0,160.0,160.0,0.11757326748048796,0.0033349667210131884,0.006883885245770216,0.11049723756906077,0.19900497512437812,9.05,7.225886951594831,20.0,30.0,50.0,0.10243507357505942,0.0022112522274255753,0.004809853155165911,0.1483924154987634,0.25843503230437903,6.738888888888889,5.354995122744595,10.0,50.0,60.0,0.0708631178545022,-0.0034549108240753412,-0.0057967533357441425,0.03988130975423142,0.0670885222112231,-5.111111111111111,-5.310044233148164,20.0,-130.0,-110.0,-0.015138193905428546,-0.001123714493587613,-0.0020740320906043053,0.03789517792970262,0.05943005718000091,-2.311111111111112,-1.8708918288502367,-10.0,20.0,10.0,-0.031571955720557224,-0.004578625317662954,-0.007870785426348448,0.07777648768393404,0.12651857939122402,-7.4222222222222225,-7.180936061998401,10.0,-110.0,-100.0,-0.04671014962598577
sample_000155,0.0036359664518386126,0.011318531818687916,0.07021650087770626,0.13121924548933844,14.241666666666667,14.486945895817307,50.0,130.0,180.0,0.09666544836066111,0.002341492800042033,0.006802143529057503,0.11390602752728998,0.20451640391989775,8.779166666666667,9.121271121494967,30.0,50.0,80.0,0.06292311928550619,0.0014722618507221341,0.004820642992854118,0.1532567049808429,0.26578073089701,6.525,6.7575921787200075,30.0,50.0,80.0,0.047521590189772804,-0.0012944736517965794,-0.004516388289630413,0.043689526649583726,0.07329715843055931,-5.4625,-5.36567477432234,-20.0,-80.0,-100.0,-0.033742329075154925,-0.0008692309493198991,-0.0019815005362033844,0.03935067745355292,0.06126432697711223,-2.2541666666666664,-2.3636789427749596,0.0,0.0,0.0,-0.015401529095733384,-0.0021637046011164784,-0.0064978888258337975,0.08304020410313664,0.13456148540767154,-7.716666666666667,-7.7293537170972995,-20.0,-80.0,-100.0,-0.04914385817088831
sample_000172,0.004712663125246763,0.013240273110568523,0.03753910323253389,0.07236180904522613,26.63888888888889,20.52401337240856,40.0,160.0,200.0,0.11096844858919155,0.0022207696456462145,0.006514443550258875,0.0693307655272027,0.12967131922557407,14.42361111111111,10.55446445135979,20.0,70.0,90.0,0.06619600152959293,0.0013315255055204034,0.004280891735106707,0.10442349528643945,0.18910045961917268,9.57638888888889,7.277690212721967,20.0,80.0,100.0,0.04837684126617425,-0.0024918934796005487,-0.0067258295603096485,0.03179166229466881,0.05730951018034794,-12.215277777777779,-9.969548921048771,-20.0,-90.0,-110.0,-0.044772447059598625,-0.0008892441401258111,-0.0022335518151521683,0.035092729759236746,0.05942914039359862,-4.847222222222221,-3.276774238637823,0.0,10.0,10.0,-0.017819160263418676,-0.00338113761972636,-0.008959381375461817,0.06688439205390556,0.11673865057394656,-17.0625,-13.246323159686593,-20.0,-80.0,-100.0,-0.0625916073230173
sample_000676,0.0031828712671995163,0.010660388506948948,0.05715952172645086,0.10813793103448276,17.494897959183675,11.999001057828337,60.0,90.0,150.0,0.09244662818534256,0.0022989220451563597,0.00651629688218236,0.09712586719524281,0.17705510388437218,10.295918367346939,7.817908116839376,30.0,10.0,40.0,0.05925547610641297,0.001979294465854764,0.006102574989199638,0.1037037037037037,0.18791946308724833,9.642857142857142,7.2956353404422725,30.0,10.0,40.0,0.05508729879008295,-0.0008839492220431566,-0.004144091624766588,0.03996634546879195,0.06891717284988942,-7.198979591836736,-4.181092940988962,-30.0,-80.0,-110.0,-0.033191152078929594,-0.0003196275793015957,-0.00041372189298272133,0.006577836508460888,0.01086435920287615,-0.6530612244897966,-0.5222727763971031,0.0,0.0,0.0,-0.00416817731633002,-0.0012035768013447523,-0.0045578135177493095,0.04654418197725284,0.07978153205276557,-7.852040816326532,-4.703365717386065,-30.0,-80.0,-110.0,-0.03735932939525961
sample_000167,0.006223950069397688,0.017564771696925163,0.07499026100506427,0.1395180286283747,13.335064935064935,11.547377386595048,60.0,90.0,150.0,0.14529291524800364,0.0028794368263334036,0.009114997461438179,0.12304250559284116,0.21912350597609562,8.127272727272727,6.4903153718490945,30.0,10.0,40.0,0.07813334088442377,0.003726257709786296,0.010362201370298862,0.12919463087248323,0.2288261515601783,7.740259740259741,7.255395320308359,30.0,10.0,40.0,0.08918218467486397,-0.0033445132430642843,-0.008449774235486984,0.04805224458777689,0.07960547734772092,-5.207792207792208,-5.057062014745954,-30.0,-80.0,-110.0,-0.06715957436357987,0.0008468208834528923,0.0012472039088606834,0.006152125279642068,0.00970264558408268,-0.38701298701298636,0.765079948459265,0.0,0.0,0.0,0.011048843790440202,-0.002497692359611392,-0.007202570326626301,0.05420436986741896,0.0893081229318036,-5.594805194805194,-4.291982066286689,-30.0,-80.0,-110.0,-0.05611073057313967
