experiment,n_samples,mean_mse,median_mse,q25_mse,q75_mse,mean_mae,median_mae,q25_mae,q75_mae,mean_iou,median_iou,q25_iou,q75_iou,mean_dice,median_dice,q25_dice,q75_dice,mean_volume_ratio,median_volume_ratio,q25_volume_ratio,q75_volume_ratio,mean_mass_ratio,median_mass_ratio,q25_mass_ratio,q75_mass_ratio,mean_absolute_top_depth_error_m,median_absolute_top_depth_error_m,q25_absolute_top_depth_error_m,q75_absolute_top_depth_error_m,mean_absolute_bottom_depth_error_m,median_absolute_bottom_depth_error_m,q25_absolute_bottom_depth_error_m,q75_absolute_bottom_depth_error_m,mean_absolute_thickness_error_m,median_absolute_thickness_error_m,q25_absolute_thickness_error_m,q75_absolute_thickness_error_m,mean_absolute_width_x_error_m,median_absolute_width_x_error_m,q25_absolute_width_x_error_m,q75_absolute_width_x_error_m,mean_absolute_width_y_error_m,median_absolute_width_y_error_m,q25_absolute_width_y_error_m,q75_absolute_width_y_error_m,mean_lateral_center_error_m,median_lateral_center_error_m,q25_lateral_center_error_m,q75_lateral_center_error_m,mean_gravity_rmse,median_gravity_rmse,q25_gravity_rmse,q75_gravity_rmse,mean_gravity_correlation,median_gravity_correlation,q25_gravity_correlation,q75_gravity_correlation,mean_gravity_relative_l2,median_gravity_relative_l2,q25_gravity_relative_l2,q75_gravity_relative_l2
E05,100,0.009577447053743526,0.008775348775088787,0.005912839202210307,0.011851774994283915,0.019686941117979587,0.01911683101207018,0.013736111344769597,0.023392613977193832,0.08919194186576386,0.07754623083827733,0.055029065007368594,0.12083235991055635,0.16012991552647282,0.14392762201652387,0.10430726112770586,0.21561131023496616,15.866775930534061,12.900259740259742,8.276136363636365,18.210714285714285,12.496885611227118,11.580508711598856,7.9760056454395105,16.142963953670947,34.7,40.0,20.0,50.0,135.0,135.0,110.0,160.0,169.7,170.0,150.0,190.0,77.5,80.0,60.0,90.0,67.5,65.0,50.0,80.0,16.33398552384949,15.811388300841896,11.180339887498949,20.615528128088304,0.15814537394769895,0.15493070843365506,0.11614272123596878,0.18762672489908472,0.9579235479988192,0.9686406448623222,0.9429013579840786,0.9874677705217552,7.11984909308593,6.694992732442833,4.629692537682269,8.934439686481145
E06,100,0.0038279555505141617,0.003172891680151224,0.0018809428147505969,0.005475147860124707,0.008536629546433687,0.008105319924652576,0.006235121400095522,0.010702100582420826,0.17092961259507683,0.15335358913708297,0.10192708354652139,0.2334088508877452,0.28086865433916214,0.26592364980990574,0.18499728456112774,0.37847669898588626,8.399233294798814,6.521464646464646,4.284398674242424,9.811309523809523,6.067083789010611,5.054232732028051,4.0766647521342785,7.668712747947095,26.3,30.0,20.0,30.0,38.9,40.0,30.0,50.0,65.2,70.0,50.0,80.0,98.8,90.0,80.0,110.0,85.2,80.0,67.5,100.0,28.150192403776813,25.0,18.027756377319946,33.905764746872634,0.08872895549520197,0.08773830205553625,0.06564198498244525,0.10729951808956109,0.9425770905400885,0.955435162488264,0.9259242264945423,0.9762801610709326,4.139156440309907,3.5102896282705465,2.631864295990106,5.062006688170937
E07,100,0.003186976630531717,0.0025592275196686387,0.0015704385004937649,0.004143513040617108,0.007507401737384498,0.006857562577351928,0.004493091721087694,0.009588316548615694,0.1955663812401458,0.17198366331840445,0.11272182875937786,0.262973529855989,0.31507324558096034,0.2934874047491436,0.20260557431065568,0.41643553365015856,6.896823961163609,5.64745670995671,3.735135582010582,8.84966856060606,5.089091264327896,4.713844572447263,3.5071300490071287,5.898554984385344,24.4,30.0,10.0,40.0,47.2,50.0,30.0,60.0,71.6,70.0,57.5,90.0,78.0,70.0,57.5,90.0,93.5,80.0,60.0,110.0,20.125379459168553,14.571067811865476,9.267766952966369,20.764946954965335,0.07748702474975834,0.07247249024060629,0.054362784849556436,0.09430260687679144,0.9725237948378816,0.9820344336693401,0.9666067421318878,0.9912354760142978,3.471670072261681,3.0293785976129555,2.2243723652032106,4.311181666833602
