split,number_of_samples,minimum_body_volume_cells,maximum_body_volume_cells,mean_body_volume_cells,median_body_volume_cells,small_count,medium_count,large_count,minimum_density_contrast,maximum_density_contrast,mean_density_contrast,median_density_contrast
train,10000,32.0,2048.0,504.8789,418.0,3334,3333,3333,0.20008332211385216,0.9999683511151595,0.598568261602934,0.5979520262739951
validation,1000,32.0,2048.0,510.022,420.0,334,333,333,0.20082329675033075,0.9996327286378679,0.5977062758412046,0.6067973246860544
