epoch,density_mae,density_mse,loss,val_density_mae,val_density_mse,val_loss
1,0.08785119652748108,0.037096381187438965,0.049483250826597214,0.03069199062883854,0.01428990252315998,0.036830585449934006
2,0.03126491978764534,0.013754649087786674,0.029306385666131973,0.02856726571917534,0.01108256820589304,0.03289070725440979
3,0.026761522516608238,0.011958278715610504,0.02774021588265896,0.047566965222358704,0.01726517267525196,0.03023618273437023
4,0.030055176466703415,0.013452938757836819,0.028468070551753044,0.019658086821436882,0.009549584239721298,0.027804851531982422
5,0.020835189148783684,0.009411019273102283,0.02516884170472622,0.014482476748526096,0.0066094291396439075,0.02548864297568798
6,0.018697187304496765,0.008357450366020203,0.0245404914021492,0.019388148561120033,0.008634019643068314,0.029837198555469513
7,0.01798688806593418,0.008311554789543152,0.024672824889421463,0.016657771542668343,0.007375802844762802,0.025064706802368164
8,0.018829939886927605,0.008643322624266148,0.024669088423252106,0.013359171338379383,0.007300539407879114,0.030328739434480667
9,0.01915328949689865,0.008404353633522987,0.024537034332752228,0.018275966867804527,0.007881228812038898,0.02519385889172554
10,0.018221618607640266,0.0078035034239292145,0.023742394521832466,0.011666356585919857,0.0037223026156425476,0.029028208926320076
11,0.01752227172255516,0.007564099971204996,0.023705871775746346,0.02467145398259163,0.008833476342260838,0.02496054582297802
12,0.01667860709130764,0.0074333674274384975,0.023927152156829834,0.009926768951117992,0.004599937237799168,0.026996443048119545
13,0.018301689997315407,0.007983804680407047,0.024021949619054794,0.014009288512170315,0.0065225535072386265,0.025683945044875145
14,0.01803707703948021,0.00799527857452631,0.023886103183031082,0.01941993273794651,0.007887923158705235,0.026099812239408493
15,0.01592928357422352,0.007017933297902346,0.023187659680843353,0.015139175578951836,0.0068754530511796474,0.02965683303773403
16,0.014242789708077908,0.006431571673601866,0.022750403732061386,0.012023720890283585,0.005352560430765152,0.02385598234832287
17,0.015152746811509132,0.006497388705611229,0.022813064977526665,0.010922853834927082,0.004996840842068195,0.023176347836852074
18,0.014329385943710804,0.006050014868378639,0.022330958396196365,0.012865221127867699,0.006347730755805969,0.025229385122656822
19,0.014868558384478092,0.0064136250875890255,0.02225780487060547,0.009586045518517494,0.004054795950651169,0.026943767443299294
20,0.015268122777342796,0.006633949466049671,0.022993000224232674,0.014700531028211117,0.006593476515263319,0.02597879245877266
21,0.01495364774018526,0.006358017213642597,0.022623484954237938,0.016625242307782173,0.0076962788589298725,0.025341317057609558
22,0.013281499966979027,0.005852598696947098,0.02206037938594818,0.01521606370806694,0.0047846343368291855,0.02513609640300274
23,0.012891033664345741,0.005540407262742519,0.022134091705083847,0.013735444284975529,0.005651524290442467,0.023813791573047638
24,0.014027714729309082,0.006237796042114496,0.021991973742842674,0.009523049928247929,0.004056489560753107,0.02331814356148243
25,0.012424797751009464,0.00557596143335104,0.02214263752102852,0.01109799463301897,0.005212417803704739,0.026196282356977463
