epoch,background_mse_component,background_prediction_mean,body_mse_component,body_prediction_mean,bottom_boundary_loss,density_loss,depth_loss,depth_profile_loss,extent_loss,loss,prediction_fraction_above_1e_4,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,sensitivity_loss,thickness_loss,top_boundary_loss,val_background_mse_component,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_bottom_boundary_loss,val_density_loss,val_depth_loss,val_depth_profile_loss,val_extent_loss,val_loss,val_prediction_fraction_above_1e_4,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation,val_sensitivity_loss,val_thickness_loss,val_top_boundary_loss,val_z_center_loss,z_center_loss
1,0.046535346657037735,0.09919391572475433,0.06741604954004288,0.4906599521636963,0.030105823650956154,0.05697567015886307,0.028650682419538498,0.009243733249604702,0.02511264570057392,0.159089133143425,0.6780636310577393,0.9462541341781616,0.10114221274852753,0.0,0.19314613938331604,0.048350024968385696,0.04166455194354057,0.003567539155483246,0.005612632725387812,0.021271808072924614,0.06371473520994186,0.48790594935417175,0.0019436958245933056,0.034663692116737366,0.013422458432614803,0.0067498087882995605,0.0053303902968764305,0.05798022449016571,0.3940729796886444,0.9462541341781616,0.023749755695462227,0.0,0.07960276305675507,0.0045636906288564205,0.008602862246334553,0.005444611422717571,0.006672651041299105,0.019406979903578758
2,0.004800340626388788,0.01583172008395195,0.04880720376968384,0.6033035516738892,0.0016882541822269559,0.026803763583302498,0.008711284957826138,0.0053978851065039635,0.0026301571633666754,0.042152758687734604,0.30062007904052734,0.9400593042373657,0.01875573769211769,0.0,0.07965747267007828,0.004007551819086075,0.004268864169716835,0.001933352556079626,0.0031538570765405893,0.010718822479248047,0.03912857174873352,0.5924822092056274,0.0010409801034256816,0.021141208708286285,0.006648174952715635,0.004578514024615288,0.0013145379489287734,0.031868912279605865,0.26399099826812744,0.9400593042373657,0.013808139599859715,0.0,0.0699409618973732,0.002764988923445344,0.002100595971569419,0.0008020379464142025,0.0020696623250842094,0.003313386347144842
3,0.0026439158245921135,0.007868907414376736,0.039578475058078766,0.6345269083976746,0.0010026647942140698,0.021111201494932175,0.00565603980794549,0.004241665825247765,0.0010349754011258483,0.03011002391576767,0.18297182023525238,0.9761130213737488,0.010987981222569942,0.0,0.0680650919675827,0.002307797782123089,0.001678146538324654,0.00042411379399709404,0.001933618332259357,0.006171879358589649,0.0362650528550148,0.6013954877853394,0.0008833751198835671,0.019099334254860878,0.004913718439638615,0.003920517396181822,0.0009085341007448733,0.026726000010967255,0.1608358770608902,0.9761130213737488,0.009332670830190182,0.0,0.0624457485973835,0.0018044192111119628,0.0015227857511490583,0.0003194414312019944,0.000993199646472931,0.0014143796870484948
4,0.0023280088789761066,0.006922661792486906,0.03763299062848091,0.6407580971717834,0.0007995797786861658,0.019980493932962418,0.004885658621788025,0.003836975432932377,0.0007953179883770645,0.02768993005156517,0.16283249855041504,0.9737537503242493,0.010077451355755329,0.0,0.06618490070104599,0.002028493210673332,0.001290936954319477,0.000295436242595315,0.002111641224473715,0.006085609085857868,0.03284168243408203,0.6387956142425537,0.0007159915403462946,0.017476661130785942,0.00427516782656312,0.0036806254647672176,0.0007978260982781649,0.02436937391757965,0.13565978407859802,0.9737537503242493,0.009445464238524437,0.0,0.06563962996006012,0.0018197100143879652,0.0014178876299411058,0.00025959944468922913,0.0005945420707575977,0.0010486876126378775
5,0.002023150445893407,0.006092118099331856,0.03576982393860817,0.6404808163642883,0.0006969599635340273,0.018896475434303284,0.004579407162964344,0.0036779434885829687,0.0006900263833813369,0.025943312793970108,0.15750844776630402,0.9429374933242798,0.009249654598534107,0.0,0.06398417800664902,0.0017773821018636227,0.0011257759761065245,0.0002473429776728153,0.0024728532880544662,0.007830096408724785,0.027757374569773674,0.6389284729957581,0.0006442539161071181,0.015115116722881794,0.00417307997122407,0.003476604586467147,0.0006334219360724092,0.022154944017529488,0.2077063024044037,0.9429374933242798,0.011181395500898361,0.0,0.06772324442863464,0.0022333271335810423,0.0010974797187373042,0.00015853192599024624,0.0006964759668335319,0.0009014669922180474
6,0.0018349785823374987,0.005551883019506931,0.03406090289354324,0.6394181251525879,0.0005928478203713894,0.017947940155863762,0.004206178244203329,0.0034560291096568108,0.0005841174861416221,0.024361198768019676,0.1476227343082428,0.9837685227394104,0.00870682392269373,0.0,0.06258202344179153,0.0016229539178311825,0.0009559809695929289,0.00020352419232949615,0.002206269185990095,0.006406123284250498,0.02918325923383236,0.6653058528900146,0.000556493061594665,0.015694763511419296,0.003730656113475561,0.0032167071476578712,0.0005968919140286744,0.021967623382806778,0.16118866205215454,0.9837685227394104,0.009905054233968258,0.0,0.06759530305862427,0.001945307245478034,0.001050913822837174,0.00018326909048482776,0.0005139500135555863,0.0007501509971916676
7,0.0016124658286571503,0.004869086667895317,0.031978458166122437,0.6384097933769226,0.0005230078822933137,0.016795480623841286,0.003914747852832079,0.0032998814713209867,0.0005197045975364745,0.022662052884697914,0.13009750843048096,0.9891042709350586,0.008022413589060307,0.0,0.06093780696392059,0.0014321277849376202,0.0008685491629876196,0.00016755792603362352,0.002062521642073989,0.005919620860368013,0.02882596105337143,0.6665898561477661,0.0005908690509386361,0.015444240532815456,0.003828431712463498,0.0031351076904684305,0.0005252271657809615,0.021676644682884216,0.15208984911441803,0.9891042709350586,0.00942795630544424,0.0,0.06681040674448013,0.0018787502776831388,0.0008671879768371582,0.00011762432404793799,0.0006933239637874067,0.0006148681859485805
8,0.0015275273472070694,0.004587285686284304,0.03091024048626423,0.6365810036659241,0.0005028820014558733,0.016218893229961395,0.003832058282569051,0.0032257349230349064,0.0004890681011602283,0.021902037784457207,0.12432288378477097,0.9913548827171326,0.0077329156920313835,0.0,0.0602271631360054,0.0013620229437947273,0.0008075861260294914,0.0001567359868204221,0.0025502413045614958,0.006998525001108646,0.03824923187494278,0.6514254212379456,0.0005083251162432134,0.020399732515215874,0.004077458754181862,0.0034462749026715755,0.0005984948365949094,0.027176950126886368,0.14400237798690796,0.9913548827171326,0.010420601814985275,0.0,0.06960492581129074,0.0021012569777667522,0.0009453503298573196,0.0003418091218918562,0.000631183385848999,0.0006063230684958398
9,0.0014584219316020608,0.004374057054519653,0.02997172437608242,0.6367167830467224,0.00045690295519307256,0.015715084969997406,0.0036517365369945765,0.0031229755841195583,0.0004576906794682145,0.021125152707099915,0.11491288244724274,0.9818134307861328,0.007521419320255518,0.0,0.059718187898397446,0.0013006482040509582,0.0007700817077420652,0.00014608650235459208,0.0019424654310569167,0.005003246013075113,0.02696814574301243,0.6814958453178406,0.0005637530703097582,0.014455306343734264,0.003728728974238038,0.0031885411590337753,0.0005512948846444488,0.02054370939731598,0.10792877525091171,0.9818134307861328,0.008595599792897701,0.0,0.0666513442993164,0.0018083782633766532,0.0009485281771048903,0.00014160346472635865,0.0005401873495429754,0.0005287647945806384
10,0.0013741191942244768,0.004044102970510721,0.028398292139172554,0.6355948448181152,0.00042670502443797886,0.01488620787858963,0.0035450172144919634,0.003036014037206769,0.00042249681428074837,0.020073160529136658,0.10240932554006577,0.9881452322006226,0.007187528070062399,0.0,0.05907686799764633,0.001219416968524456,0.000706159567926079,0.0001346262142760679,0.0020761708728969097,0.006122284568846226,0.02709025889635086,0.6653795838356018,0.0003119748434983194,0.014583217911422253,0.003632290055975318,0.003150553908199072,0.0004234940279275179,0.020407764241099358,0.1478804498910904,0.9881452322006226,0.00962311401963234,0.0,0.06690704822540283,0.0017687617801129818,0.000698238960467279,0.0002602685708552599,0.0004817362641915679,0.0005090047488920391
