epoch,background_mse_component,background_prediction_mean,body_mse_component,body_prediction_mean,density_mae,density_mse,loss,prediction_fraction_above_1e_4,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,val_background_mse_component,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_density_mae,val_density_mse,val_loss,val_prediction_fraction_above_1e_4,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation
1,0.027109047397971153,0.059758108109235764,0.046727899461984634,0.6138864755630493,0.06029944866895676,0.027154089882969856,0.03691849857568741,0.5229201912879944,0.9991958141326904,0.06251615285873413,0.0,0.1581590324640274,0.018138274550437927,0.03677256032824516,0.0391203872859478,0.6321121454238892,0.03740684688091278,0.018214937299489975,0.028629330918192863,0.5653568506240845,0.9725598692893982,0.03993397206068039,0.0,0.13656489551067352
2,0.01825110800564289,0.037532538175582886,0.04339942708611488,0.6227063536643982,0.03816865757107735,0.018332378938794136,0.030825290828943253,0.445402055978775,0.9990555644035339,0.040445126593112946,0.0,0.13612154126167297,0.022440025582909584,0.03803465515375137,0.036752160638570786,0.6999102234840393,0.038673460483551025,0.0224946029484272,0.029596099629998207,0.13303741812705994,0.9945584535598755,0.04154939204454422,0.0,0.1525358408689499
3,0.01722765900194645,0.03424135968089104,0.04204563423991203,0.627091109752655,0.0348844975233078,0.01731226220726967,0.029636656865477562,0.356764554977417,0.9954536557197571,0.037192147225141525,0.0,0.13337047398090363,0.016143672168254852,0.03162345662713051,0.03649817407131195,0.6286131143569946,0.032264385372400284,0.016212696209549904,0.026320919394493103,0.29924246668815613,0.9691780805587769,0.03479363024234772,0.0,0.13045193254947662
4,0.01576501503586769,0.031201926991343498,0.041090451180934906,0.626746654510498,0.031854234635829926,0.01585565134882927,0.028427740558981895,0.37998372316360474,0.9955112934112549,0.0341661274433136,0.0,0.12862196564674377,0.013414503075182438,0.027324257418513298,0.04101266711950302,0.6016859412193298,0.02801327221095562,0.013520663604140282,0.02721359021961689,0.19175028800964355,0.958809494972229,0.03037426248192787,0.0,0.12013424932956696
5,0.015036423690617085,0.029079483821988106,0.040350478142499924,0.6275916695594788,0.02973160706460476,0.015127069316804409,0.027693456038832664,0.2097991406917572,0.9911651015281677,0.03205844759941101,0.0,0.12634344398975372,0.015925699844956398,0.03164747357368469,0.03417178988456726,0.6340532302856445,0.032291363924741745,0.015999797731637955,0.025048747658729553,0.2680150270462036,0.9575320482254028,0.03484640643000603,0.0,0.12960876524448395
6,0.01407173927873373,0.02692013792693615,0.039809368550777435,0.6294171810150146,0.027583550661802292,0.014168227091431618,0.02694055251777172,0.20372793078422546,0.9932809472084045,0.029918920248746872,0.0,0.12307995557785034,0.011055747047066689,0.022075073793530464,0.0393838994204998,0.596782922744751,0.022808704525232315,0.011179454624652863,0.02521982230246067,0.10194478183984756,0.9114019274711609,0.025126921012997627,0.0,0.11096499860286713
7,0.013097446411848068,0.024720489978790283,0.038777537643909454,0.6307831406593323,0.025387300178408623,0.013196585699915886,0.025937499478459358,0.1762610226869583,0.9932618737220764,0.027737034484744072,0.0,0.11963693052530289,0.01298423670232296,0.024906259030103683,0.03832917660474777,0.62171471118927,0.025604071095585823,0.01309598796069622,0.02565670758485794,0.11701598763465881,0.9430801272392273,0.02807546593248844,0.0,0.11936202645301819
8,0.012672330252826214,0.023884031921625137,0.037945132702589035,0.6328139305114746,0.02454855851829052,0.012769544497132301,0.02530873939394951,0.1702709197998047,0.9973660707473755,0.026914888992905617,0.0,0.11811043322086334,0.012356226332485676,0.024120206013321877,0.03525644913315773,0.6226462125778198,0.02481272630393505,0.012455152347683907,0.023806339129805565,0.18548299372196198,0.9629039764404297,0.027298536151647568,0.0,0.11688898503780365
9,0.012361722998321056,0.023123065009713173,0.03756501153111458,0.6317902207374573,0.02378506027162075,0.012460065074265003,0.024963384494185448,0.15965332090854645,0.9969505667686462,0.026152582839131355,0.0,0.11694762855768204,0.013095565140247345,0.024835117161273956,0.033828459680080414,0.6304208636283875,0.025526028126478195,0.013189909048378468,0.023462016135454178,0.13624846935272217,0.9835113883018494,0.02805093675851822,0.0,0.11999078094959259
10,0.012002410367131233,0.022342422977089882,0.03684438765048981,0.6311017274856567,0.022999269887804985,0.012099049985408783,0.02442340739071369,0.1516949087381363,0.9974510669708252,0.025372419506311417,0.0,0.11557711660861969,0.012616325169801712,0.02550630457699299,0.035152509808540344,0.6077136993408203,0.026199638843536377,0.012717065401375294,0.023884421214461327,0.13026957213878632,0.9683047533035278,0.02859797514975071,0.0,0.11721181124448776
