epoch,background_mse_component,background_prediction_mean,body_mse_component,body_prediction_mean,density_amplitude_loss,density_loss,depth_loss,depth_profile_loss,loss,prediction_fraction_above_1e_4,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,sensitivity_loss,val_background_mse_component,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_density_amplitude_loss,val_density_loss,val_depth_loss,val_depth_profile_loss,val_loss,val_prediction_fraction_above_1e_4,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation,val_sensitivity_loss,val_z_center_loss,z_center_loss
1,0.05140633508563042,0.10279212146997452,0.06690870225429535,0.4960709512233734,0.06212146207690239,0.058425597846508026,0.02175919897854328,0.010310768149793148,0.15022557973861694,0.616050124168396,0.7446455359458923,0.10474971681833267,0.0,0.20354363322257996,0.048281580209732056,0.008872350677847862,0.027004966512322426,0.0564434677362442,0.50810706615448,0.05200895294547081,0.03265790641307831,0.010083325207233429,0.007019272539764643,0.060487762093544006,0.3057287633419037,0.7446455359458923,0.02955973893404007,0.0,0.09666109085083008,0.007663199678063393,0.0030640526674687862,0.011448429897427559
2,0.005985380616039038,0.018779944628477097,0.0539667010307312,0.5505708456039429,0.04654540494084358,0.029166296124458313,0.009243019856512547,0.007285835687071085,0.05197492986917496,0.23140347003936768,0.9857059121131897,0.021426808089017868,0.0,0.08396521210670471,0.004322567488998175,0.009007656946778297,0.02593483217060566,0.051788829267024994,0.5722753405570984,0.043575916439294815,0.030398240312933922,0.008322618901729584,0.005939751397818327,0.05441973730921745,0.3178212344646454,0.9857059121131897,0.028836043551564217,0.0,0.0995989441871643,0.007376258261501789,0.002382866106927395,0.0019571848679333925
3,0.0044874753803014755,0.012244727462530136,0.04628380388021469,0.6202471852302551,0.03641628846526146,0.02446886897087097,0.007970813661813736,0.006418617442250252,0.043622203171253204,0.15160183608531952,0.9485601782798767,0.015270945616066456,0.0,0.07900071889162064,0.00321170873939991,0.0038689777720719576,0.01055329479277134,0.03908100724220276,0.6019570231437683,0.028665559366345406,0.021474992856383324,0.0060357446782290936,0.005156536120921373,0.036892469972372055,0.12256978452205658,0.9485601782798767,0.013693801127374172,0.0,0.07548606395721436,0.00334598938934505,0.0008792092557996511,0.0015521941240876913
4,0.002799413399770856,0.007166931871324778,0.041435178369283676,0.6480270624160767,0.03123360313475132,0.021372072398662567,0.005642978008836508,0.0047936392948031425,0.03472369536757469,0.10121484100818634,0.9778103828430176,0.010356679558753967,0.0,0.06990978866815567,0.0020656613633036613,0.0026244104374200106,0.006642312277108431,0.03743533045053482,0.6535816788673401,0.026431934908032417,0.02002987079322338,0.0043745520524680614,0.0037015248090028763,0.03106538951396942,0.09742065519094467,0.9778103828430176,0.010077728889882565,0.0,0.07000549137592316,0.0022864164784550667,0.0006730268942192197,0.000849340227432549
5,0.002391920192167163,0.005951151717454195,0.038918931037187576,0.6513379216194153,0.029534056782722473,0.02015216089785099,0.004894172307103872,0.004179913084954023,0.03171522915363312,0.08084513992071152,0.9957472085952759,0.00916343741118908,0.0,0.06729959696531296,0.001774751697666943,0.0029893540777266026,0.007212040945887566,0.03276923671364784,0.6687278747558594,0.025350036099553108,0.017879292368888855,0.00420537730678916,0.0034108164254575968,0.029018044471740723,0.09248830378055573,0.9957472085952759,0.010724863968789577,0.0,0.07292833179235458,0.0027280000504106283,0.0007945599500089884,0.0007142546237446368
6,0.0020664462354034185,0.0051521495915949345,0.03665381297469139,0.654167652130127,0.02745669148862362,0.018940770998597145,0.0043671452440321445,0.003814893774688244,0.02923249825835228,0.07076916843652725,0.9923719167709351,0.008382491767406464,0.0,0.0651564672589302,0.0015574507415294647,0.0022776855621486902,0.005387956742197275,0.034191109240055084,0.6841632127761841,0.02443794719874859,0.01823439449071884,0.0035888757556676865,0.0030101395677775145,0.02749139629304409,0.06679189205169678,0.9923719167709351,0.008992432616651058,0.0,0.06939288973808289,0.00207924610003829,0.000578736886382103,0.0005522510618902743
7,0.00203172629699111,0.005037224851548672,0.03605703264474869,0.6519894599914551,0.026569576933979988,0.01853877305984497,0.0041187782771885395,0.0036166091449558735,0.028300469741225243,0.07111924141645432,0.9921976923942566,0.008257303386926651,0.0,0.06489203125238419,0.0015241594519466162,0.0023500369861721992,0.005385938566178083,0.03238554298877716,0.6836119294166565,0.023255985230207443,0.017367789521813393,0.0038976394571363926,0.003193301847204566,0.027387047186493874,0.06725138425827026,0.9921976923942566,0.008987495675683022,0.0,0.06970597058534622,0.002223976654931903,0.0007043376099318266,0.0005021691904403269
8,0.001884016441181302,0.004715897608548403,0.03468821570277214,0.6515578627586365,0.02543632686138153,0.01792721636593342,0.0038867341354489326,0.0034730827901512384,0.027125468477606773,0.06935960799455643,0.989558756351471,0.007935420610010624,0.0,0.06379880756139755,0.0014247981598600745,0.0021894853562116623,0.005533120129257441,0.04052751883864403,0.6443996429443359,0.02638574130833149,0.02135850489139557,0.00436059944331646,0.0035908501595258713,0.03206034377217293,0.08993825316429138,0.989558756351471,0.00892566703259945,0.0,0.06706559658050537,0.0019806367345154285,0.0007697488181293011,0.0004136503557674587
9,0.001807013526558876,0.004493929911404848,0.03447776660323143,0.6549208164215088,0.025359082967042923,0.017732685431838036,0.0037266260478645563,0.0033482215367257595,0.026552679017186165,0.06381683051586151,0.9794825315475464,0.007731299847364426,0.0,0.06341861933469772,0.001366734504699707,0.0024343656841665506,0.005653843283653259,0.028470654040575027,0.6623973846435547,0.020972447469830513,0.015452507883310318,0.003655955893918872,0.0032413676381111145,0.025019969791173935,0.06475108116865158,0.9794825315475464,0.009141325950622559,0.0,0.06926240026950836,0.0022555477917194366,0.00041458848863840103,0.0003784061409533024
10,0.0017956863157451153,0.004483341705054045,0.03342054411768913,0.6528649926185608,0.024803239852190018,0.01747206225991249,0.0037283357232809067,0.0033339259680360556,0.02628561668097973,0.06558970361948013,0.9822846055030823,0.007710535079240799,0.0,0.0632733404636383,0.0013568832073360682,0.0016264456789940596,0.004172204993665218,0.030445966869592667,0.6362536549568176,0.021901937201619148,0.01603620871901512,0.0029730245005339384,0.0026677334681153297,0.023472974076867104,0.05802968516945839,0.9822846055030823,0.007528723683208227,0.0,0.06203155592083931,0.001490713912062347,0.0003052912943530828,0.00039441059925593436
