epoch,density_mae,density_mse,loss,val_density_mae,val_density_mse,val_loss
1,0.008680721744894981,0.004553467500954866,0.10949838906526566,0.0030145207419991493,0.002094656229019165,0.10473282635211945
2,0.0031156206969171762,0.0021603971254080534,0.10801991820335388,0.0030145207419991493,0.002094656229019165,0.10473282635211945
3,0.0031156199984252453,0.0021603982895612717,0.10801989585161209,0.0030145207419991493,0.002094656229019165,0.10473282635211945
4,0.003115618834272027,0.002160398056730628,0.1080198734998703,0.0030145207419991493,0.002094656229019165,0.10473282635211945
5,0.003115620231255889,0.002160398056730628,0.1080198884010315,0.0030145207419991493,0.002094656229019165,0.10473282635211945
6,0.003115620231255889,0.0021603971254080534,0.10801997035741806,0.0030145207419991493,0.002094656229019165,0.10473282635211945
7,0.003115619532763958,0.002160398755222559,0.10801992565393448,0.0030145207419991493,0.002094656229019165,0.10473282635211945
8,0.0031156199984252453,0.0021603989880532026,0.10801993310451508,0.0030145207419991493,0.002094656229019165,0.10473282635211945
9,0.0031156190671026707,0.0021603985223919153,0.10801993310451508,0.0030145207419991493,0.002094656229019165,0.10473282635211945
