epoch,background_mse_component,background_prediction_mean,body_mse_component,body_prediction_mean,density_loss,gravity_correlation,gravity_loss,gravity_relative_l2,gravity_rmse,loss,prediction_fraction_above_1e_4,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,val_background_mse_component,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_density_loss,val_gravity_correlation,val_gravity_loss,val_gravity_relative_l2,val_gravity_rmse,val_loss,val_prediction_fraction_above_1e_4,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation,val_weighted_gravity_loss,weighted_gravity_loss
1,0.0018876410322263837,0.0043786922469735146,0.41981273889541626,0.0030173477716743946,0.21085019409656525,-0.09454324096441269,90.01333618164062,1.8767701387405396,0.06192370876669884,0.21985407173633575,0.013922271318733692,0.7749847769737244,0.004371913615614176,0.0,0.04318586364388466,3.2060367815417434e-12,6.354910819794668e-09,0.43169865012168884,0.0,0.21584932506084442,-0.10267625004053116,0.9999997615814209,0.9999998211860657,0.043918441981077194,0.2159494012594223,1.1901855032192543e-05,0.0009240324725396931,6.321164480738162e-09,0.0,1.7872690705189598e-06,9.999995381804183e-05,0.009001465514302254
2,3.570214002907024e-12,6.794443674351669e-09,0.4221804440021515,9.474075110158696e-24,0.21109022200107574,-0.09478121250867844,0.9999999403953552,0.9999999403953552,0.042357780039310455,0.2111925482749939,1.2023925592075102e-05,0.0009540591854602098,6.760618731505019e-09,0.0,1.8861609305531601e-06,3.2063462128417708e-12,6.355207471386848e-09,0.43169865012168884,0.0,0.21584932506084442,-0.10267632454633713,0.9999997615814209,0.9999998211860657,0.043918441981077194,0.2159494012594223,1.1901855032192543e-05,0.0009240750805474818,6.321459800062712e-09,0.0,1.7873553588287905e-06,9.999995381804183e-05,0.00010000109614338726
3,3.5707699817810745e-12,6.794938389731442e-09,0.42218032479286194,9.479605813965201e-24,0.21109016239643097,-0.09478141367435455,1.0,1.0,0.04223117604851723,0.21119239926338196,1.2023925592075102e-05,0.0009541061008349061,6.76112055231215e-09,0.0,1.8863074728869833e-06,3.207074796701681e-12,6.355905135535522e-09,0.43169865012168884,0.0,0.21584932506084442,-0.10267660021781921,0.9999997615814209,0.9999998211860657,0.043918441981077194,0.2159494012594223,1.1901855032192543e-05,0.0009241760126315057,6.322153467408498e-09,0.0,1.7875581761472858e-06,9.999995381804183e-05,0.00010000110341934487
4,3.5720237531733368e-12,6.796103235728879e-09,0.4221804440021515,9.48857752904028e-24,0.21109022200107574,-0.0947820171713829,0.9999999403953552,1.0,0.042282670736312866,0.21119248867034912,1.2023925592075102e-05,0.0009543087799102068,6.762272075633291e-09,0.0,1.8866390973926173e-06,3.208624555287032e-12,6.357384396693533e-09,0.43169865012168884,0.0,0.21584932506084442,-0.10267730802297592,0.9999997615814209,0.9999998211860657,0.043918441981077194,0.2159494012594223,1.1901855032192543e-05,0.0009243969107046723,6.323624734960731e-09,0.0,1.7879900724437903e-06,9.999995381804183e-05,0.00010000108159147203
5,3.574330501715517e-12,6.798237972560628e-09,0.4221803843975067,9.505170429320698e-24,0.21109019219875336,-0.09478357434272766,1.0,1.0,0.042340390384197235,0.21119239926338196,1.2023925592075102e-05,0.000954442482907325,6.764398818859263e-09,0.0,1.8872478904086165e-06,3.2119029658161935e-12,6.360528992388481e-09,0.43169865012168884,0.0,0.21584932506084442,-0.10267939418554306,0.9999997615814209,0.9999998211860657,0.043918441981077194,0.2159494012594223,1.1901855032192543e-05,0.0009248542482964694,6.326752899354915e-09,0.0,1.7889032051243703e-06,9.999995381804183e-05,0.00010000110341934487
6,3.579602543199445e-12,6.803116736620041e-09,0.4221804738044739,9.53840671697947e-24,0.21109023690223694,-0.09478745609521866,0.9999999403953552,0.9999999403953552,0.042418550699949265,0.21119250357151031,1.2034098290314432e-05,0.0009551990078762174,6.769252713922924e-09,0.0,1.8886385078076273e-06,3.218099181231948e-12,6.366539739843802e-09,0.43169865012168884,0.0,0.21584932506084442,-0.10268417000770569,0.9999997615814209,0.9999998211860657,0.043918441981077194,0.2159494012594223,1.1901855032192543e-05,0.0009257204364985228,6.332731672387126e-09,0.0,1.7906276070789318e-06,9.999995381804183e-05,0.00010000110341934487
7,3.5888627139546436e-12,6.8118013452078685e-09,0.42218017578125,9.568883569191778e-24,0.211090087890625,-0.09479588270187378,1.0,1.0,0.042246706783771515,0.2111923098564148,1.2039184184686746e-05,0.0009574573487043381,6.7779000190171246e-09,0.0,1.891079932647699e-06,3.2299458246898283e-12,6.3782068515649826e-09,0.43169865012168884,0.0,0.21584932506084442,-0.10269475728273392,0.9999997615814209,0.9999998211860657,0.043918441981077194,0.2159494012594223,1.1901855032192543e-05,0.0009273632895201445,6.344336611618928e-09,0.0,1.7939205463335384e-06,9.999995381804183e-05,0.00010000110341934487
8,3.6074403013397482e-12,6.82953738007086e-09,0.4221805930137634,9.729326044400154e-24,0.2110902965068817,-0.094814732670784,1.0,1.0,0.042411476373672485,0.2111925482749939,1.2059529581165407e-05,0.0009593861759640276,6.795547236038146e-09,0.0,1.8959677845487022e-06,3.251272515103487e-12,6.3995884147516335e-09,0.43169865012168884,0.0,0.21584932506084442,-0.10271760821342468,0.9999997615814209,0.9999998211860657,0.043918441981077194,0.2159494012594223,1.2003581105091143e-05,0.0009302992257289588,6.365604932057067e-09,0.0,1.7998329440160887e-06,9.999995381804183e-05,0.00010000108886742964
9,3.639725239951153e-12,6.860527257401827e-09,0.4221804440021515,9.817454429287824e-24,0.21109022200107574,-0.09485048800706863,0.9999999403953552,0.9999999403953552,0.042150773108005524,0.21119250357151031,1.2074788173777051e-05,0.0009619797929190099,6.826382126234876e-09,0.0,1.9044326791117783e-06,3.2898584030605083e-12,6.438423127974602e-09,0.43169865012168884,0.0,0.21584932506084442,-0.10276045650243759,0.9999997615814209,0.9999998211860657,0.043918441981077194,0.2159494012594223,1.2003581105091143e-05,0.0009355734218843281,6.404233587886665e-09,0.0,1.8104811942976085e-06,9.999995381804183e-05,0.00010000110341934487
