experiment,n_samples,mean_mse,median_mse,q25_mse,q75_mse,mean_mae,median_mae,q25_mae,q75_mae,mean_iou,median_iou,q25_iou,q75_iou,mean_dice,median_dice,q25_dice,q75_dice,mean_body_mse,median_body_mse,q25_body_mse,q75_body_mse,mean_background_mse,median_background_mse,q25_background_mse,q75_background_mse,mean_volume_ratio,median_volume_ratio,q25_volume_ratio,q75_volume_ratio,mean_mass_ratio,median_mass_ratio,q25_mass_ratio,q75_mass_ratio,mean_absolute_top_depth_error_m,median_absolute_top_depth_error_m,q25_absolute_top_depth_error_m,q75_absolute_top_depth_error_m,mean_absolute_bottom_depth_error_m,median_absolute_bottom_depth_error_m,q25_absolute_bottom_depth_error_m,q75_absolute_bottom_depth_error_m,mean_absolute_thickness_error_m,median_absolute_thickness_error_m,q25_absolute_thickness_error_m,q75_absolute_thickness_error_m,mean_absolute_width_x_error_m,median_absolute_width_x_error_m,q25_absolute_width_x_error_m,q75_absolute_width_x_error_m,mean_absolute_width_y_error_m,median_absolute_width_y_error_m,q25_absolute_width_y_error_m,q75_absolute_width_y_error_m,mean_lateral_center_error_m,median_lateral_center_error_m,q25_lateral_center_error_m,q75_lateral_center_error_m,mean_gravity_rmse,median_gravity_rmse,q25_gravity_rmse,q75_gravity_rmse,mean_gravity_correlation,median_gravity_correlation,q25_gravity_correlation,q75_gravity_correlation,mean_gravity_relative_l2,median_gravity_relative_l2,q25_gravity_relative_l2,q75_gravity_relative_l2
E10A,100,0.0034464465666678734,0.002998101874254644,0.0018809590546879917,0.004670565947890282,0.00753808761946857,0.006900816923007369,0.005050083855167031,0.010094742756336927,0.21258176025846665,0.1890088128260965,0.1124857832394796,0.2933051880981121,0.33372306173519667,0.3179237958779022,0.20221994356583115,0.45357423029590993,0.033307492690421124,0.017363889938893654,0.005433527899982443,0.04122012362322924,0.003346580012527546,0.002802387842394829,0.0017621652816713052,0.004435599214726893,8.337148457320097,5.192355371900826,3.409433621933622,8.892113095238095,6.847735128094583,4.487376884827942,2.9890440437297117,6.1264746202663325,23.7,30.0,10.0,40.0,46.8,50.0,30.0,60.0,70.5,70.0,50.0,90.0,78.7,70.0,50.0,90.0,70.4,60.0,40.0,90.0,16.235086311131845,11.180339887498949,7.0710678118654755,18.027756377319946,0.07780492778311177,0.07066856372937834,0.05618020098180613,0.09377006263803456,0.9639547651278378,0.9888691546389774,0.9746942849334144,0.9946482936304565,4.171461320095525,2.9573670373772387,1.8143252595147097,4.574806902130897
E10B,100,0.006192909189849161,0.005678599933162332,0.0038215110544115305,0.008040278684347868,0.011926282008644193,0.011667245998978615,0.007866923231631517,0.015335761709138751,0.1546344575506716,0.13340916736893646,0.08626537260116608,0.21278155042738417,0.257921153086602,0.2353928637141619,0.15882927226131882,0.3508964176803726,0.038311541148435435,0.022845578144041485,0.008345673489484362,0.05546161250217027,0.006078663385736275,0.00557320506000044,0.0038079786844333156,0.008030878964918284,10.472656165803839,7.37547619047619,4.6998376623376625,11.592142857142857,9.721966248321221,6.7851120540602246,4.635751230530444,8.61341127013669,50.5,50.0,30.0,70.0,63.1,60.0,40.0,82.5,113.6,120.0,90.0,130.0,328.2,350.0,230.0,410.0,298.1,290.0,220.0,372.5,176.3166910349966,187.81597519355012,145.12490068654026,219.7563011895836,0.1309541580413709,0.12719916348844518,0.0923922825428545,0.16089577457485338,0.9559159863790018,0.9803090088035495,0.9569570856050398,0.9930025182705471,6.543957963409914,4.901626053773615,3.561684562035312,7.916483345906888
E10C,100,0.005002004729176406,0.003938096109777689,0.00215118529740721,0.0071318264817819,0.009836954817874357,0.009039809461683035,0.006005497183650732,0.0131921477150172,0.1732618754569643,0.1506556642102609,0.09444223913821823,0.24910586731383577,0.2837364895462165,0.2618591608909582,0.17258512110951524,0.3988546575888913,0.036377456333259686,0.01651213987852698,0.005620467954127328,0.03998772056904831,0.004922360954743625,0.003802055967220119,0.002079597733946924,0.006836731806303819,8.843278579436236,6.637962962962963,4.014359572400388,10.588505244755245,6.714750011555319,5.2868903459398675,4.147313018627425,7.6500678996809395,30.5,30.0,10.0,50.0,62.9,60.0,40.0,82.5,93.4,100.0,70.0,110.0,87.4,60.0,40.0,100.0,85.9,60.0,40.0,80.0,30.39993365490107,11.180339887498949,7.0710678118654755,21.71164609606623,0.11057477263361706,0.10481045095374537,0.06979912973241713,0.14317620646895737,0.9674182399806536,0.9826351925357066,0.968255875644335,0.9910117202585065,5.012229678116523,4.323078786239831,2.7282191416816772,6.311075175514622
