experiment,group_type,range_m,n_samples,mean_dice,mean_volume_ratio,mean_mass_ratio,mean_absolute_top_depth_error_m,mean_absolute_bottom_depth_error_m,mean_absolute_thickness_error_m
E10A,top_depth,20-40,43,0.3767688027907749,8.832299835955327,8.902986029085145,9.767441860465116,48.83720930232558,58.604651162790695
E10A,top_depth,50-60,25,0.3129070929138169,7.656269748725703,5.104107962798901,32.8,54.0,86.8
E10A,top_depth,70-80,32,0.2921428228334663,8.203725283368382,5.448200452775767,35.3125,38.4375,73.75
E10A,thickness,20-30,37,0.1945959836227184,14.176133588852744,10.50847755947693,24.054054054054053,66.21621621621621,90.27027027027027
E10A,thickness,40-50,26,0.35860218187860177,6.233908959630114,5.9249605798137175,24.615384615384617,48.07692307692308,72.6923076923077
E10A,thickness,60-80,37,0.45536751488203886,3.9761154052452787,3.835428865774467,22.7027027027027,26.486486486486488,49.189189189189186
E10B,top_depth,20-40,43,0.28471315207541814,10.863806783304545,12.693841651157825,29.767441860465116,81.62790697674419,111.3953488372093
E10B,top_depth,50-60,25,0.25129934877786625,10.460913758278759,7.937630260032591,54.0,62.8,116.8
E10B,top_depth,70-80,32,0.2270926890615801,9.956221279416235,7.122521166610028,75.625,38.4375,114.0625
E10B,thickness,20-30,37,0.15538673974273376,17.01200517742455,14.632805593042047,51.891891891891895,84.32432432432432,136.21621621621622
E10B,thickness,40-50,26,0.2704470746761198,8.042532503153897,8.407186752389435,50.38461538461539,65.38461538461539,115.76923076923077
E10B,thickness,60-80,37,0.351653567475674,5.640961619829032,5.7350260088497595,49.189189189189186,40.270270270270274,89.45945945945945
E10C,top_depth,20-40,43,0.31356931508957514,8.100930379947862,7.125080335476512,9.767441860465116,81.16279069767442,90.93023255813954
E10C,top_depth,50-60,25,0.28629417105259075,9.089078144153026,6.232371034233183,34.0,62.8,96.8
E10C,top_depth,70-80,32,0.24165044154547355,9.64877806256375,6.540227214819138,55.625,38.4375,94.0625
E10C,thickness,20-30,37,0.1608459256034093,14.673490740078945,9.232874475578484,31.89189189189189,83.24324324324324,115.13513513513513
E10C,thickness,40-50,26,0.3015381962034861,6.319993404432106,5.842628122120095,30.384615384615383,65.38461538461539,95.76923076923077
E10C,thickness,60-80,37,0.3941177461082397,4.786185730958593,4.809467956324475,29.18918918918919,40.810810810810814,70.0
