experiment,sample_id,sample_path,prediction_path,mse,mae,correlation,iou,dice,true_occupied_cells,predicted_occupied_cells,volume_ratio,true_mass_proxy,predicted_mass_proxy,mass_ratio,true_body_mean_density,predicted_mean_density_in_true_body,peak_predicted_density,body_mse,background_mse,true_top_depth_m,true_bottom_depth_m,true_thickness_m,true_width_x_m,true_width_y_m,true_center_x_m,true_center_y_m,gravity_mse,gravity_rmse,gravity_mae,gravity_relative_l2,gravity_correlation,gravity_max_abs_residual,gravity_mean_residual,gravity_residual_std,manifest_top_depth_m,manifest_thickness_m,predicted_top_depth_m,top_depth_error_m,absolute_top_depth_error_m,predicted_bottom_depth_m,bottom_depth_error_m,absolute_bottom_depth_error_m,predicted_thickness_m,thickness_error_m,absolute_thickness_error_m,predicted_width_x_m,width_x_error_m,absolute_width_x_error_m,predicted_width_y_m,width_y_error_m,absolute_width_y_error_m,predicted_center_x_m,predicted_center_y_m,lateral_center_error_m
E10A,sample_000796,samples/sample_000796.npz,sample_000796_prediction.npz,0.0041274926625192165,0.010751795023679733,0.49448819429244434,0.20911995352889923,0.34590439586836413,720,3443,4.781944444444444,233.237042427063,1285.624706313014,5.5120948753886285,0.32394033670425415,0.4291783023211691,0.6578492522239685,0.017070544841774348,0.004031995687536153,40.0,70.0,30.0,150.0,160.0,175.0,170.0,0.011626319433196218,0.10782541181556515,0.051744759774556566,3.2865331259656014,0.9875718849440104,0.5334204710152226,0.051744759774556566,0.09459809336910366,40.0,30.0,20.0,-20.0,20.0,160.0,90.0,90.0,140.0,110.0,110.0,210.0,60.0,60.0,200.0,40.0,40.0,175.0,180.0,10.0
E10A,sample_001763,samples/sample_001763.npz,sample_001763_prediction.npz,0.0048333387821912766,0.009142396040260792,0.44147822495175615,0.13825569871159563,0.24292555507183283,280,2017,7.203571428571428,142.34578132629395,1035.8313224613667,7.276867026265914,0.5083777904510498,0.6420975338135447,0.7623984813690186,0.02816782153021995,0.00476668526955046,40.0,110.0,70.0,80.0,50.0,510.0,495.0,0.014293944907757579,0.1195572871378302,0.04683441889391585,6.099687979002906,0.9383566873000381,0.728386783257716,0.04683441889391585,0.1100021914082933,40.0,70.0,20.0,-20.0,20.0,140.0,30.0,30.0,120.0,50.0,50.0,180.0,100.0,100.0,160.0,110.0,110.0,480.0,470.0,39.05124837953327
E10A,sample_000998,samples/sample_000998.npz,sample_000998_prediction.npz,0.002604203298687935,0.0078124976716935635,0.5138835592021718,0.1746031746031746,0.2972972972972973,462,2646,5.7272727272727275,163.88124418258667,931.61203558743,5.684677586103042,0.3547213077545166,0.4462320797500156,0.5413699746131897,0.010250972680237554,0.0025680961045503607,80.0,110.0,30.0,110.0,140.0,235.0,380.0,0.0044149767329785105,0.06644529127770087,0.036721411945910144,4.082503484538739,0.990418577832453,0.2992377493753065,0.036721411945910144,0.05537611974197252,80.0,30.0,50.0,-30.0,30.0,160.0,50.0,50.0,110.0,80.0,80.0,170.0,60.0,60.0,220.0,80.0,80.0,225.0,380.0,10.0
E10A,sample_001629,samples/sample_001629.npz,sample_001629_prediction.npz,0.003723990870639682,0.007821633480489254,0.5883028551566359,0.23354958294717332,0.3786626596543952,504,2158,4.281746031746032,287.289128780365,1053.194677785039,3.6659747003173773,0.5700181126594543,0.623211335568201,0.7014616131782532,0.0046795618894784775,0.0037190661804644342,70.0,130.0,60.0,60.0,140.0,440.0,210.0,0.004896905227990706,0.0699778909941612,0.036507003904101346,2.4747373017347645,0.9977477096916362,0.33772246243793275,0.036507003904101346,0.05970045137129732,70.0,60.0,40.0,-30.0,30.0,160.0,30.0,30.0,120.0,60.0,60.0,150.0,90.0,90.0,190.0,50.0,50.0,445.0,205.0,7.0710678118654755
E10A,sample_001922,samples/sample_001922.npz,sample_001922_prediction.npz,0.007825812324881554,0.011977230198681355,0.622276889212911,0.2824858757062147,0.44052863436123346,750,2655,3.54,600.9497344493866,1764.233776703477,2.9357426679286847,0.8012663125991821,0.8127693904240926,0.8536942601203918,0.0012656524439047605,0.00787624697100925,60.0,110.0,50.0,150.0,100.0,455.0,270.0,0.01293258203233257,0.1137215108602263,0.05672366924978992,1.7231475290248177,0.9901980969248166,0.556091124033447,0.05672366924978992,0.09856473699641778,60.0,50.0,20.0,-40.0,40.0,160.0,50.0,50.0,140.0,90.0,90.0,200.0,50.0,50.0,160.0,60.0,60.0,470.0,260.0,18.027756377319946
E10A,sample_001409,samples/sample_001409.npz,sample_001409_prediction.npz,0.00430690823122859,0.006185270845890045,0.5133975008177065,0.19840566873339238,0.3311160384331116,224,1129,5.040178571428571,206.4456329345703,770.7016580104828,3.7331942897273325,0.9216322898864746,0.8239071177584785,0.8544583916664124,0.010876983399340734,0.00429190337697341,20.0,90.0,70.0,40.0,80.0,480.0,290.0,0.008121139794059321,0.09011736677277761,0.031209041518836845,2.2955347774721413,0.9004656996077408,0.7235791967297247,0.031209041518836845,0.08454073291340003,20.0,70.0,20.0,0.0,0.0,110.0,20.0,20.0,90.0,20.0,20.0,140.0,100.0,100.0,130.0,50.0,50.0,450.0,295.0,30.4138126514911
E10A,sample_000992,samples/sample_000992.npz,sample_000992_prediction.npz,0.0028483979403972626,0.005489131901413202,0.7577573715917195,0.45757385292269015,0.6278568348426046,728,1591,2.1854395604395602,443.7051453590393,972.4346395432949,2.191623535842515,0.6094850897789001,0.7143457074659866,0.833040714263916,0.01765723503601296,0.0027379114426738646,20.0,100.0,80.0,70.0,130.0,395.0,215.0,0.005501632269084743,0.07417298881051473,0.029156720003851756,1.0433006762629113,0.9863545503877459,0.39296101781161763,0.029156720003851756,0.06820203770930701,20.0,80.0,20.0,0.0,0.0,120.0,20.0,20.0,100.0,20.0,20.0,120.0,50.0,50.0,200.0,70.0,70.0,400.0,210.0,7.0710678118654755
E10A,sample_002128,samples/sample_002128.npz,sample_002128_prediction.npz,0.0021356057841330767,0.005063329357653856,0.5092432089257805,0.15759312320916904,0.2722772277227723,220,1396,6.345454545454546,101.6027420759201,599.124670535326,5.896737216872012,0.46183064579963684,0.5763349457220598,0.6853569746017456,0.015837723519833154,0.002104872219456077,60.0,100.0,40.0,50.0,110.0,295.0,285.0,0.0028415553320884253,0.05330624102380907,0.025170891365478825,4.276077869164034,0.9961473926107214,0.320280909699825,0.025170891365478825,0.04698916428237141,60.0,40.0,30.0,-30.0,30.0,160.0,60.0,60.0,130.0,90.0,90.0,120.0,70.0,70.0,140.0,30.0,30.0,290.0,290.0,7.0710678118654755
E10A,sample_001888,samples/sample_001888.npz,sample_001888_prediction.npz,0.006133997347205877,0.011032539419829845,0.5066804703702328,0.15272727272727274,0.26498422712933756,378,2475,6.5476190476190474,311.36883294582367,1337.1686016619205,4.294484419044536,0.8237270712852478,0.7460247082685036,0.8002785444259644,0.00656163641346148,0.006132346271941973,70.0,140.0,70.0,90.0,60.0,355.0,480.0,0.010134877180010916,0.10067212712568914,0.05006894509734453,3.32006941246856,0.9952659917958707,0.5105919383997333,0.05006894509734453,0.08733829582061936,70.0,70.0,30.0,-40.0,40.0,160.0,20.0,20.0,130.0,60.0,60.0,180.0,90.0,90.0,180.0,120.0,120.0,360.0,480.0,5.0
E10A,sample_001536,samples/sample_001536.npz,sample_001536_prediction.npz,0.0026251934468746185,0.005448102951049805,0.5586691764637772,0.2118003025718608,0.3495630461922597,280,1322,4.7214285714285715,223.28286409378052,671.1271103322506,3.0057260016620533,0.7974388003349304,0.640785225374358,0.7215260863304138,0.026746691602703036,0.0025562916213206703,40.0,80.0,40.0,70.0,100.0,455.0,380.0,0.004209629541378875,0.06488165797341244,0.02421583283963094,1.843925721673187,0.9912035114823594,0.43493643604206,0.02421583283963094,0.06019321374758061,40.0,40.0,20.0,-20.0,20.0,120.0,40.0,40.0,100.0,60.0,60.0,140.0,70.0,70.0,130.0,30.0,30.0,450.0,385.0,7.0710678118654755
