epoch,background_mse_component,background_prediction_mean,body_mse_component,body_prediction_mean,gravity_loss,high_sensitivity_mse,iou_loss,loss,low_sensitivity_mse,prediction_fraction_above_1e_4,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,sensitivity_loss,val_background_mse_component,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_gravity_loss,val_high_sensitivity_mse,val_iou_loss,val_loss,val_low_sensitivity_mse,val_prediction_fraction_above_1e_4,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation,val_sensitivity_loss
1,0.03282152861356735,0.0756881907582283,0.06675978004932404,0.5567651987075806,67.7529067993164,0.0,0.9876641035079956,1.0374547243118286,0.03296183422207832,0.24700520932674408,0.745731770992279,0.07808264344930649,0.0,0.16802100837230682,0.04979061335325241,0.016765542328357697,0.03841053321957588,0.0678100660443306,0.48691627383232117,9.275594711303711,0.0,0.9852554202079773,1.027543067932129,0.01704554259777069,0.11104919761419296,0.745731770992279,0.04079221561551094,0.0,0.12788118422031403,0.04228779673576355
2,0.025931138545274734,0.050535768270492554,0.04938148334622383,0.5978323817253113,16.34597396850586,0.0,0.9861207604408264,1.0237770080566406,0.026007117703557014,0.13041076064109802,0.8172873854637146,0.05325981602072716,0.0,0.15753977000713348,0.03765631839632988,0.024843761697411537,0.051756199449300766,0.04563937708735466,0.5749288201332092,16.176156997680664,0.0,0.9853756427764893,1.0206174850463867,0.024960653856396675,0.16435953974723816,0.8172873854637146,0.05453437194228172,0.0,0.15350009500980377,0.035241566598415375
3,0.024808663874864578,0.047662489116191864,0.048082608729600906,0.6006687879562378,14.891627311706543,0.0,0.9858419299125671,1.0222880840301514,0.024894189089536667,0.12009967118501663,0.8307068347930908,0.05041498690843582,0.0,0.1549769788980484,0.036445651203393936,0.01487304549664259,0.031995780766010284,0.05811011791229248,0.517726719379425,7.157233238220215,0.0,0.9844038486480713,1.02089524269104,0.015074056573212147,0.08735341578722,0.8307068347930908,0.03457513824105263,0.0,0.12290516495704651,0.03649158030748367
4,0.021296417340636253,0.03954127058386803,0.04730536416172981,0.6073976755142212,11.244906425476074,0.0,0.9852092266082764,1.0195103883743286,0.02139885723590851,0.09582006931304932,0.9035901427268982,0.04236764460802078,0.0,0.14598527550697327,0.03430087864398956,0.01958910934627056,0.03446998819708824,0.040317945182323456,0.6229597926139832,9.61575698852539,0.0,0.9841058850288391,1.0140594244003296,0.01970638707280159,0.07686411589384079,0.9035901427268982,0.03759502246975899,0.0,0.14218734204769135,0.029953528195619583
5,0.019891124218702316,0.037107616662979126,0.04524517431855202,0.6147822141647339,10.226313591003418,0.0,0.9849764108657837,1.0175445079803467,0.01999160274863243,0.08911798149347305,0.8649646043777466,0.039982881397008896,0.0,0.14194945991039276,0.03256811574101448,0.015245277434587479,0.030602935701608658,0.04419512301683426,0.5746365785598755,7.2620368003845215,0.0,0.9839136600494385,1.0136337280273438,0.015391404740512371,0.08778289705514908,0.8649646043777466,0.03349190205335617,0.0,0.12594759464263916,0.029720202088356018
6,0.017614169046282768,0.032168664038181305,0.04282397776842117,0.6191762685775757,8.255738258361816,0.0,0.9846650958061218,1.0148845911026,0.017714111134409904,0.07686248421669006,0.8582671284675598,0.035090360790491104,0.0,0.1352050006389618,0.030219057574868202,0.020005030557513237,0.03653973713517189,0.039645422250032425,0.6292615532875061,10.238097190856934,0.0,0.9839882850646973,1.0138133764266968,0.020123785361647606,0.0853467807173729,0.8582671284675598,0.03968724608421326,0.0,0.14317934215068817,0.029825227335095406
7,0.01732165366411209,0.03169973939657211,0.04221486300230026,0.6175409555435181,8.162479400634766,0.0,0.9846252799034119,1.0143935680389404,0.017421310767531395,0.07591107487678528,0.8617204427719116,0.03461570665240288,0.0,0.13422055542469025,0.02976824901998043,0.018433362245559692,0.03221382573246956,0.037685178220272064,0.6497393846511841,8.619200706481934,0.0,0.9836370944976807,1.011696219444275,0.0185541994869709,0.07249582558870316,0.8617204427719116,0.035493042320013046,0.0,0.13925610482692719,0.02805926650762558
8,0.015876878052949905,0.02888544276356697,0.04172744229435921,0.6233224868774414,7.066589832305908,0.0,0.9844598174095154,1.0132625102996826,0.01598549075424671,0.07026466727256775,0.8666074275970459,0.031844161450862885,0.0,0.1296001672744751,0.0288021769374609,0.01502697542309761,0.02838524617254734,0.04192007705569267,0.599219560623169,6.7114577293396,0.0,0.9837096333503723,1.0121831893920898,0.015179192647337914,0.07151713222265244,0.8666074275970459,0.031416527926921844,0.0,0.1262984275817871,0.028473522514104843
9,0.016089648008346558,0.02953810803592205,0.041960395872592926,0.6210277080535889,7.364627838134766,0.0,0.9845082759857178,1.0135319232940674,0.016197077929973602,0.07164108753204346,0.8580999374389648,0.03248215839266777,0.0,0.1301925778388977,0.029025031253695488,0.016636162996292114,0.028989547863602638,0.04077361151576042,0.6385343670845032,7.109093189239502,0.0,0.983646035194397,1.0123509168624878,0.01680739037692547,0.06552683562040329,0.8580999374389648,0.03222639858722687,0.0,0.1333860456943512,0.02870488353073597
10,0.01553261186927557,0.028204582631587982,0.041254233568906784,0.6225482821464539,6.765750408172607,0.0,0.9843811392784119,1.0127739906311035,0.01564551331102848,0.06768511235713959,0.8438957929611206,0.031162800267338753,0.0,0.1284169852733612,0.028393439948558807,0.016588175669312477,0.02991429530084133,0.03824446350336075,0.64971923828125,7.4462385177612305,0.0,0.9834659695625305,1.0108823776245117,0.01674131117761135,0.07110249996185303,0.8438957929611206,0.03320561721920967,0.0,0.13312235474586487,0.027416320517659187
