epoch,background_mse_component,background_prediction_mean,body_mse_component,body_prediction_mean,density_loss,depth_loss,depth_profile_loss,loss,prediction_fraction_above_1e_4,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,sensitivity_loss,val_background_mse_component,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_density_loss,val_depth_loss,val_depth_profile_loss,val_loss,val_prediction_fraction_above_1e_4,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation,val_sensitivity_loss,val_z_center_loss,z_center_loss
1,0.046446189284324646,0.09599297493696213,0.06454198062419891,0.49662619829177856,0.05549410358071327,0.026101000607013702,0.010008715093135834,0.12976354360580444,0.6536276340484619,0.7804211974143982,0.09798706322908401,0.0,0.19459286332130432,0.048168424516916275,0.00636408943682909,0.021745886653661728,0.0577809102833271,0.4970444440841675,0.03207249566912651,0.010768919251859188,0.007007325068116188,0.048263054341077805,0.32613271474838257,0.7804211974143982,0.024269849061965942,0.0,0.08416518568992615,0.00542164221405983,0.0037615925539284945,0.016092270612716675
2,0.0056006633676588535,0.018422337248921394,0.051720403134822845,0.5519108176231384,0.028660552576184273,0.00912553258240223,0.006457167211920023,0.04250498488545418,0.26060181856155396,0.9345749020576477,0.021077649667859077,0.0,0.08177056908607483,0.004718944896012545,0.007245291490107775,0.02039586752653122,0.044810641556978226,0.5870255827903748,0.026027966290712357,0.00904319528490305,0.00605492340400815,0.040972672402858734,0.2920527160167694,0.9345749020576477,0.023404818028211594,0.0,0.09236768633127213,0.00590151734650135,0.002988270716741681,0.002668363507837057
3,0.004001023713499308,0.011488140560686588,0.04440255090594292,0.5909729599952698,0.02420179918408394,0.007957505993545055,0.005947435274720192,0.03552452474832535,0.17319878935813904,0.9616832733154297,0.014372424222528934,0.0,0.07468537241220474,0.003365221433341503,0.002668440341949463,0.0077423639595508575,0.04355442896485329,0.5621373653411865,0.023111438378691673,0.006662498228251934,0.005556869320571423,0.03216440603137016,0.11748667061328888,0.9616832733154297,0.01068634632974863,0.0,0.06575977802276611,0.002390465931966901,0.0011056270450353622,0.002010070951655507
4,0.003306182799860835,0.00953824631869793,0.04080299288034439,0.6083728075027466,0.022054586559534073,0.006978072226047516,0.005510489456355572,0.031829021871089935,0.1567797213792801,0.9677988886833191,0.012518826872110367,0.0,0.07109678536653519,0.0027963784523308277,0.0031359330751001835,0.008508743718266487,0.03579841926693916,0.6165808439254761,0.019467175006866455,0.006262427661567926,0.005544992163777351,0.02840620093047619,0.0981675237417221,0.9677988886833191,0.011737765744328499,0.0,0.07130515575408936,0.0026765959337353706,0.0007174353813752532,0.0014675830025225878
5,0.002831482794135809,0.00799580104649067,0.0386984683573246,0.6152740120887756,0.020764965564012527,0.006329119671136141,0.0051861912943422794,0.02948923408985138,0.1238318458199501,0.9638571739196777,0.011018405668437481,0.0,0.06831001490354538,0.0023951088078320026,0.003232167335227132,0.00942396093159914,0.031287506222724915,0.6290972828865051,0.01725984364748001,0.005815367680042982,0.004980790428817272,0.025836767628788948,0.15575724840164185,0.9638571739196777,0.012714589945971966,0.0,0.07225687801837921,0.0027615574654191732,0.0008345773676410317,0.0011429284932091832
6,0.0024857884272933006,0.007218961603939533,0.035993121564388275,0.6168364882469177,0.019239433109760284,0.0058475979603827,0.004887029528617859,0.027202341705560684,0.11953375488519669,0.9724410176277161,0.01025320589542389,0.0,0.06602945923805237,0.002115303184837103,0.002887520007789135,0.007883578538894653,0.032373927533626556,0.6499312520027161,0.017630720511078835,0.0052582873031497,0.004776174668222666,0.02539879083633423,0.10523854941129684,0.9724410176277161,0.011293021962046623,0.0,0.07126224040985107,0.0025097853504121304,0.00048211149987764657,0.0009605695959180593
7,0.0021640309132635593,0.006220232229679823,0.03401453420519829,0.6186978816986084,0.018089288845658302,0.005410484038293362,0.00463512260466814,0.025349806994199753,0.10309255123138428,0.9755253791809082,0.009268713183701038,0.0,0.06385374814271927,0.001850035274401307,0.0023416606709361076,0.006468947511166334,0.032376572489738464,0.6656065583229065,0.017359113320708275,0.004987392108887434,0.004460527561604977,0.02442614547908306,0.09767161309719086,0.9755253791809082,0.009969140402972698,0.0,0.06844103336334229,0.0020796421449631453,0.000526864139828831,0.0007753628306090832
8,0.0020297172013670206,0.005809246562421322,0.032958563417196274,0.6196790933609009,0.017494136467576027,0.005128935910761356,0.004440263845026493,0.024366002529859543,0.09669090062379837,0.9874868392944336,0.008864670060575008,0.0,0.06294818222522736,0.0017429342260584235,0.001643262803554535,0.004928251728415489,0.03877450153231621,0.6099929213523865,0.02020888403058052,0.005031205248087645,0.004563169088214636,0.026674313470721245,0.08958424627780914,0.9874868392944336,0.00814130436629057,0.0,0.060660384595394135,0.0014342318754643202,0.0004680366546381265,0.0006886745104566216
9,0.0018097205320373178,0.005227913614362478,0.03211212158203125,0.6207296252250671,0.01696092262864113,0.0049146367236971855,0.004243271891027689,0.023448310792446136,0.09292120486497879,0.9856587648391724,0.008291452191770077,0.0,0.06134457513689995,0.0015727360732853413,0.002306736307218671,0.006042124703526497,0.029268665239214897,0.6681205034255981,0.015787702053785324,0.004736424423754215,0.004247016739100218,0.022571716457605362,0.0920339971780777,0.9856587648391724,0.009557931683957577,0.0,0.068427674472332,0.0020475934725254774,0.0004894080921076238,0.0006713611073791981
10,0.001725569018162787,0.004967848304659128,0.03140956535935402,0.6224757432937622,0.01656758040189743,0.004642359912395477,0.004075081553310156,0.022704528644680977,0.0892246812582016,0.9774502515792847,0.00804136972874403,0.0,0.06084802374243736,0.0014945832081139088,0.0022147083654999733,0.0062189362943172455,0.03089107945561409,0.651098370552063,0.016552889719605446,0.004638596437871456,0.004097266122698784,0.02312690019607544,0.10134846717119217,0.9774502515792847,0.009643415920436382,0.0,0.06686579436063766,0.0019354133401066065,0.0005413299659267068,0.0005672784755006433
