experiment,sample_id,sample_path,prediction_path,mse,mae,correlation,iou,dice,true_occupied_cells,predicted_occupied_cells,volume_ratio,true_mass_proxy,predicted_mass_proxy,mass_ratio,true_body_mean_density,predicted_mean_density_in_true_body,peak_predicted_density,body_mse,background_mse,depth_profile_mse,z_center_error_m,absolute_z_center_error_m,true_top_depth_m,true_bottom_depth_m,true_thickness_m,true_width_x_m,true_width_y_m,true_center_x_m,true_center_y_m,gravity_mse,gravity_rmse,gravity_mae,gravity_relative_l2,gravity_correlation,gravity_max_abs_residual,gravity_mean_residual,gravity_residual_std,manifest_top_depth_m,manifest_thickness_m,predicted_top_depth_m,top_depth_error_m,absolute_top_depth_error_m,predicted_bottom_depth_m,bottom_depth_error_m,absolute_bottom_depth_error_m,predicted_thickness_m,thickness_error_m,absolute_thickness_error_m,predicted_width_x_m,width_x_error_m,absolute_width_x_error_m,predicted_width_y_m,width_y_error_m,absolute_width_y_error_m,predicted_center_x_m,predicted_center_y_m,lateral_center_error_m
E09B,sample_000960,samples/sample_000960.npz,sample_000960_prediction.npz,0.0010267936158925295,0.004552058409899473,0.6461616113039205,0.21463951568519538,0.3534209333937472,390,1817,4.658974358974359,203.0231523513794,575.220326399061,2.8332745292197354,0.5205721855163574,0.4241992509517914,0.5400506258010864,0.010763317977467062,0.0009880122011956302,0.010768769614302445,5.321642690580319,5.321642690580319,70.0,90.0,20.0,130.0,150.0,165.0,265.0,0.0014012498683424867,0.03743327220992691,0.01860712602317328,1.6549357503410465,0.9974095567370627,0.1783228731373051,0.01860712602317328,0.03248114421476304,70.0,20.0,50.0,-20.0,20.0,130.0,40.0,40.0,80.0,60.0,60.0,170.0,40.0,40.0,190.0,40.0,40.0,165.0,255.0,10.0
E09B,sample_001604,samples/sample_001604.npz,sample_001604_prediction.npz,0.001108225667849183,0.002811125246807933,0.8001326967400184,0.3657142857142857,0.5355648535564853,320,875,2.734375,209.39214706420898,481.5047092096538,2.299535660532689,0.6543504595756531,0.7656221986748278,0.8690016269683838,0.01883173161895824,0.0010503435738025428,0.000540535562972129,-1.8051344100446869,1.8051344100446869,70.0,150.0,80.0,50.0,80.0,265.0,500.0,0.0007266373714463665,0.026956212112356707,0.012838421992777807,1.3655472629231042,0.9996551534467278,0.17110195674859136,0.012838421992777807,0.023702579863418366,70.0,80.0,50.0,-20.0,20.0,240.0,90.0,90.0,190.0,110.0,110.0,100.0,50.0,50.0,120.0,40.0,40.0,270.0,500.0,5.0
E09B,sample_001049,samples/sample_001049.npz,sample_001049_prediction.npz,0.0004080127691850066,0.0022805591579526663,0.8969277952032033,0.5675675675675675,0.7241379310344828,630,1110,1.7619047619047619,164.42838996648788,384.29210222717273,2.337139604088413,0.2609974443912506,0.41174834791630033,0.6389464735984802,0.03396442065837797,0.00019157302516423257,0.0008013461198847155,-1.1431854515962527,1.1431854515962527,50.0,110.0,60.0,70.0,150.0,215.0,405.0,0.0006790534183244715,0.026058653425003978,0.011465495769811122,1.3342574053740277,0.9989104574848977,0.15814496227722064,0.011465495769811122,0.023400765480575948,50.0,60.0,30.0,-20.0,20.0,130.0,20.0,20.0,100.0,40.0,40.0,90.0,20.0,20.0,190.0,40.0,40.0,215.0,395.0,10.0
E09B,sample_001954,samples/sample_001954.npz,sample_001954_prediction.npz,0.0004330276569817215,0.0020739377941936255,0.5851530500248899,0.1745635910224439,0.29723991507430997,140,802,5.728571428571429,69.94698226451874,243.26726493765312,3.4778807757236545,0.49962130188941956,0.3904923044145107,0.4761626124382019,0.015754892626322098,0.00041117587821998155,0.011291377831102664,6.487831216749029,6.487831216749029,80.0,100.0,20.0,100.0,70.0,400.0,495.0,0.00029817237254836773,0.017267668416678834,0.008358451044628764,2.2678422521527817,0.9972757567855755,0.09906509148214676,0.008358451044628764,0.015109886454997338,80.0,20.0,60.0,-20.0,20.0,140.0,40.0,40.0,80.0,60.0,60.0,140.0,40.0,40.0,120.0,50.0,50.0,410.0,490.0,11.180339887498949
E09B,sample_001051,samples/sample_001051.npz,sample_001051_prediction.npz,0.0007243931177072227,0.002287287963554263,0.7627757285249465,0.3062645011600928,0.4689165186500888,264,862,3.265151515151515,169.32887077331543,375.6894595775458,2.218697011689697,0.64139723777771,0.6126676119412436,0.7041339874267578,0.0027725025885634203,0.0007188780540811668,0.002858473225299564,-1.5285827225856181,1.5285827225856181,40.0,80.0,40.0,110.0,60.0,165.0,520.0,0.0011007665741310584,0.03317780243070747,0.011049940226500594,1.2476846790739387,0.9987139282160814,0.25581251080085465,0.011049940226500594,0.03128362822822542,40.0,40.0,20.0,-20.0,20.0,110.0,30.0,30.0,90.0,50.0,50.0,150.0,40.0,40.0,90.0,30.0,30.0,165.0,515.0,5.0
E09B,sample_000519,samples/sample_000519.npz,sample_000519_prediction.npz,0.000550068449229002,0.0031760490965098143,0.9079201624265836,0.5815244825845532,0.7353973827002873,1152,1981,1.7196180555555556,485.49850845336914,758.4091486037277,1.5621245696917951,0.42143967747688293,0.4632130281534046,0.6499245762825012,0.008180035834605385,0.0004595945331533636,0.0008431152986232755,-2.7659212939036735,2.7659212939036735,70.0,130.0,60.0,160.0,120.0,190.0,260.0,0.0007572033256528703,0.027517327734590622,0.013560345281752702,0.6013081159459601,0.9993394030475203,0.14136843416622918,0.013560345281752702,0.0239441091187899,70.0,60.0,50.0,-20.0,20.0,160.0,30.0,30.0,110.0,50.0,50.0,180.0,20.0,20.0,160.0,40.0,40.0,190.0,250.0,10.0
E09B,sample_002133,samples/sample_002133.npz,sample_002133_prediction.npz,9.203507943311706e-05,0.0007981359376572073,0.9131547185682903,0.7407407407407407,0.851063829787234,360,486,1.35,119.72476601600647,179.7881653515302,1.5016789870150478,0.33256879448890686,0.3528495493448443,0.505252480506897,0.006678462304063225,6.782620698444025e-05,0.00047350890403312595,-0.9197504100907778,0.9197504100907778,20.0,80.0,60.0,120.0,50.0,250.0,245.0,8.742502284137934e-05,0.009350134910330403,0.0034099150888565895,0.41551445120184105,0.9952635560267061,0.06669967986242889,0.0034099150888565895,0.008706176079552232,20.0,60.0,20.0,0.0,0.0,80.0,0.0,0.0,60.0,0.0,0.0,180.0,60.0,60.0,70.0,20.0,20.0,270.0,245.0,20.0
E09B,sample_000492,samples/sample_000492.npz,sample_000492_prediction.npz,0.00010113175812875852,0.0010211322223767638,0.858138854543888,0.5568181818181818,0.7153284671532847,336,486,1.4464285714285714,69.23460531234741,156.7423825985798,2.2639311929554125,0.20605537295341492,0.268395085397753,0.39881691336631775,0.011526770561904038,6.194535196048954e-05,0.0009347013223478546,-4.695433389478531,4.695433389478531,30.0,90.0,60.0,40.0,140.0,390.0,410.0,0.00017544880404441715,0.013245708891728564,0.004885442678709464,1.216337372220352,0.9961955970048351,0.10292997224843892,0.004885442678709464,0.01231183389578747,30.0,60.0,20.0,-10.0,10.0,90.0,0.0,0.0,70.0,10.0,10.0,60.0,20.0,20.0,170.0,30.0,30.0,390.0,405.0,5.0
E09B,sample_000901,samples/sample_000901.npz,sample_000901_prediction.npz,0.0027255758177489042,0.005774775054305792,0.7039590201301119,0.27529249827942187,0.4317323259579061,400,1453,3.6325,387.03465461730957,817.3770465151489,2.1118962779272348,0.9675866365432739,0.7959103205800057,0.8446736931800842,0.030565454369902784,0.0026118322694044203,0.0044399894902974945,1.7422427870624517,1.7422427870624517,70.0,110.0,40.0,100.0,100.0,200.0,200.0,0.0023083418615791962,0.048045206437054636,0.02133667573707199,1.150398396773736,0.9992389762223709,0.31779800578364537,0.02133667573707199,0.04304751014948763,70.0,40.0,30.0,-40.0,40.0,150.0,40.0,40.0,120.0,80.0,80.0,120.0,20.0,20.0,140.0,40.0,40.0,200.0,200.0,0.0
E09B,sample_000728,samples/sample_000728.npz,sample_000728_prediction.npz,0.0005455879145301878,0.0025152787566184998,0.7805837561171844,0.2828282828282828,0.4409448818897638,280,990,3.5357142857142856,104.24670338630676,351.5008316344324,3.3718172394562598,0.3723096549510956,0.5165236879672322,0.6396348476409912,0.023929753318351153,0.00047879237557155006,0.0022340553938372818,-0.5077829302063037,0.5077829302063037,60.0,100.0,40.0,70.0,100.0,335.0,470.0,0.0009053142143245552,0.030088439878540648,0.012798007980040963,2.3599782312403006,0.9990489477741831,0.20137199622919633,0.012798007980040963,0.027230960432334424,60.0,40.0,30.0,-30.0,30.0,130.0,30.0,30.0,100.0,60.0,60.0,110.0,40.0,40.0,150.0,50.0,50.0,335.0,465.0,5.0
