experiment,lambda_density,lambda_depth,alpha_center,lambda_sensitivity,mean_mse,mean_iou,mean_dice,mean_absolute_top_depth_error_m,mean_absolute_bottom_depth_error_m,mean_absolute_center_depth_error_m,mean_absolute_thickness_error_m,gravity_mse,gravity_rmse,gravity_mae,gravity_relative_l2,gravity_correlation,best_epoch,final_epoch,best_validation_loss,val_density_loss_at_best_epoch,val_density_loss_improved_after_best,val_depth_profile_loss_at_best_epoch,val_depth_profile_loss_improved_after_best,val_z_center_loss_at_best_epoch,val_z_center_loss_improved_after_best,val_depth_loss_at_best_epoch,val_depth_loss_improved_after_best,val_sensitivity_loss_at_best_epoch,val_sensitivity_loss_improved_after_best
E09B,1.0,1.0,1.0,1.0,0.0009425767803622876,0.3642556416286639,0.5147005774666877,19.9,31.3,2.818207891893893,51.2,0.0012717674319641667,0.03174096189706608,0.01364085554614612,1.3454871984650807,0.9913334555255191,19,27,0.01674802601337433,0.012272951193153858,False,0.0031916704028844833,True,0.00021443022706080228,True,0.0034061011392623186,True,0.0010689672781154513,True
E09B-1,1.0,1.5,1.0,1.0,0.0009515008726157248,0.329645525554197,0.4729664598683349,16.2,23.3,2.3205231735638923,39.5,0.001249532226532174,0.03326660897785488,0.015133400058913067,1.6634629912755534,0.9602352514186825,45,53,0.01385919563472271,0.00934820156544447,False,0.002150958403944969,True,0.00020258285803720355,True,0.0023535413201898336,True,0.0009806795278564095,True
E09B-2,1.0,2.0,1.0,1.0,0.0007550208855536766,0.3662851848571784,0.5142714923482792,14.2,21.1,1.8027033751618564,35.3,0.0008357205341899418,0.026966285092064255,0.01216040630304054,1.2937996804245433,0.9808645830570173,45,53,0.014457536861300468,0.009839633479714394,False,0.0017766107339411974,True,0.00015251892909873277,True,0.0019291294738650322,True,0.000759643386118114,True
E09B-3,1.0,3.0,1.0,1.0,0.0008113029097148683,0.3545304401706663,0.5033623871633758,12.3,22.6,1.8530796698286474,34.9,0.0008595367768877883,0.028108453006941963,0.013132204027069074,1.4222229755058646,0.9693991854901889,77,85,0.014567452482879162,0.009258221834897995,False,0.0014281886396929622,True,8.495666406815872e-05,False,0.0015131449326872826,True,0.000769792590290308,True
E09B-4,1.0,2.0,1.0,0.5,0.0011483990275883117,0.304433770544131,0.44968475813477654,17.7,28.5,2.6105102049752187,46.2,0.0018509505789012913,0.04000310728017853,0.02028905073770092,1.8086428679218003,0.9693565259412954,19,27,0.01699034497141838,0.011250125244259834,False,0.0023523608688265085,True,0.00020158931147307158,True,0.0025539500638842583,True,0.0012646358227357268,True
