epoch,background_mse_component,background_prediction_mean,body_mse_component,body_prediction_mean,density_loss,depth_loss,depth_profile_loss,loss,prediction_fraction_above_1e_4,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,sensitivity_loss,val_background_mse_component,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_density_loss,val_depth_loss,val_depth_profile_loss,val_loss,val_prediction_fraction_above_1e_4,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation,val_sensitivity_loss,val_z_center_loss,z_center_loss
1,0.03886786103248596,0.08996178209781647,0.05796824395656586,0.5524148941040039,0.04841805621981621,0.015959087759256363,0.007628058549016714,0.09845270961523056,0.730730414390564,0.9980093836784363,0.0922636091709137,0.0,0.1782444715499878,0.03623289614915848,0.007271581329405308,0.023751137778162956,0.0452779196202755,0.5723437666893005,0.026274751871824265,0.00812138058245182,0.006414074916392565,0.04555656760931015,0.47088348865509033,0.9980093836784363,0.026664311066269875,0.0,0.09170812368392944,0.006078106816858053,0.0017073063645511866,0.008331027813255787
2,0.005780205130577087,0.017317118123173714,0.04136941209435463,0.6256231665611267,0.023574812337756157,0.007375701796263456,0.00582445552572608,0.040707044303417206,0.38223811984062195,0.9888794422149658,0.020344829186797142,0.0,0.08604176342487335,0.004761591088026762,0.004896637983620167,0.016252722591161728,0.0422850027680397,0.5948762893676758,0.0235908143222332,0.006613872013986111,0.00533354701474309,0.038879211992025375,0.3642069399356842,0.9888794422149658,0.019325360655784607,0.0,0.08063254505395889,0.004121313337236643,0.001280323718674481,0.001551247900351882
3,0.004179696086794138,0.012165536172688007,0.039026305079460144,0.633929431438446,0.02160302922129631,0.00606794748455286,0.0048802378587424755,0.035485658794641495,0.27193376421928406,0.9834883809089661,0.015260236337780952,0.0,0.07777708023786545,0.0034935136791318655,0.002144371857866645,0.007656742352992296,0.04481005668640137,0.5533775687217712,0.023477213457226753,0.0048445286229252815,0.004265722818672657,0.034141555428504944,0.19272297620773315,0.9834883809089661,0.0105546610429883,0.0,0.06186692789196968,0.0019505806267261505,0.000578805455006659,0.001187709392979741
4,0.0030416655354201794,0.00894180778414011,0.03693927079439163,0.6385197639465332,0.019990451633930206,0.004780751187354326,0.003986101597547531,0.030844565480947495,0.21720358729362488,0.9836662411689758,0.012075411155819893,0.0,0.0710151270031929,0.002585242036730051,0.0027233136352151632,0.008840852417051792,0.0349014587700367,0.6034342646598816,0.0188123881816864,0.004642900545150042,0.0039511192589998245,0.02932579256594181,0.21957671642303467,0.9836662411689758,0.011998300440609455,0.0,0.06823558360338211,0.002455193316563964,0.0006917821010574698,0.0007946516270749271
5,0.002619188278913498,0.007748858071863651,0.035325802862644196,0.639525294303894,0.018972475081682205,0.004356842488050461,0.003642571158707142,0.028811350464820862,0.1909819096326828,0.9908718466758728,0.010893389582633972,0.0,0.06825479120016098,0.0022503912914544344,0.00314622581936419,0.009602265432476997,0.026257194578647614,0.6477242708206177,0.014701711013913155,0.003880535252392292,0.0035060294903814793,0.02384149096906185,0.21550150215625763,0.9908718466758728,0.012990862131118774,0.0,0.07275807857513428,0.0027574319392442703,0.0003745055291801691,0.0007142695831134915
6,0.0023453158792108297,0.006922850850969553,0.03312329947948456,0.6386587023735046,0.017734311521053314,0.003930219914764166,0.0033326484262943268,0.026610348373651505,0.17354150116443634,0.9965294003486633,0.010067187249660492,0.0,0.06639424711465836,0.002031211741268635,0.0029686670750379562,0.008451121859252453,0.031373023986816406,0.6804445385932922,0.017170848324894905,0.003642149269580841,0.0033369301818311214,0.025756679475307465,0.20912058651447296,0.9965294003486633,0.012019583024084568,0.0,0.07356125116348267,0.002603064989671111,0.0003052184183616191,0.0005975682870484889
7,0.0021151520777493715,0.006343824788928032,0.03151196986436844,0.6386622786521912,0.016813552007079124,0.0035860631614923477,0.003124508075416088,0.024904167279601097,0.16784432530403137,0.9956092238426208,0.00949107762426138,0.0,0.06477902829647064,0.0018369766185060143,0.002010956173762679,0.006198907271027565,0.029665226116776466,0.6625579595565796,0.01583809219300747,0.003214651020243764,0.002890133298933506,0.02317851036787033,0.18351949751377106,0.9956092238426208,0.009684344753623009,0.0,0.06627072393894196,0.00182224134914577,0.00032451783772557974,0.000461556832306087
8,0.0019707113970071077,0.006170115899294615,0.029995031654834747,0.6382363438606262,0.01598287746310234,0.003412968246266246,0.0029834776651114225,0.023665469139814377,0.18505364656448364,0.9942423701286316,0.009316110983490944,0.0,0.0637291818857193,0.0017133336514234543,0.0015537191648036242,0.004349274095147848,0.04098688066005707,0.6248986721038818,0.021270303055644035,0.0033248276449739933,0.0029533759225159883,0.028671853244304657,0.10998901724815369,0.9942423701286316,0.007644554600119591,0.0,0.06163729354739189,0.0015037875855341554,0.00037145186797715724,0.0004294932004995644
9,0.0019222060218453407,0.0060491194017231464,0.02979668416082859,0.6376487612724304,0.015859436243772507,0.0033034218940883875,0.00290099554695189,0.023305818438529968,0.1750667691230774,0.9944055080413818,0.00919278059154749,0.0,0.06333621591329575,0.0016790992813184857,0.0028480603359639645,0.007776014972478151,0.027467381209135056,0.6972574591636658,0.015157720074057579,0.0036838622763752937,0.003092874074354768,0.02383810468018055,0.18058989942073822,0.9944055080413818,0.011437343433499336,0.0,0.07366584241390228,0.0026253352407366037,0.0005909882602281868,0.00040242407703772187
10,0.001873103086836636,0.006110379938036203,0.02849196083843708,0.6382182240486145,0.015182534232735634,0.003215788397938013,0.0028229563031345606,0.022427646443247795,0.18393541872501373,0.9940103888511658,0.009256578050553799,0.0,0.06303141266107559,0.001627058256417513,0.0018635592423379421,0.0057691847905516624,0.025569414719939232,0.6770643591880798,0.013716486282646656,0.0030856141820549965,0.002749489853158593,0.020739778876304626,0.1650853455066681,0.9940103888511658,0.009333937428891659,0.0,0.06601515412330627,0.0017041288083419204,0.00033612444531172514,0.0003928329679183662
