experiment,lambda_depth,lambda_amplitude,small_body_weighting,mean_mse,mean_iou,mean_dice,mean_absolute_top_depth_error_m,mean_absolute_bottom_depth_error_m,mean_absolute_z_center_error_m,mean_absolute_thickness_error_m,mean_gravity_rmse,mean_gravity_relative_l2,mean_gravity_correlation,mean_absolute_density_error,mean_relative_density_error
E09B,1.0,0.0,False,0.0009425767803622876,0.3642556416286639,0.5147005774666877,19.9,31.3,2.818207891893893,51.2,0.03174096189706608,1.3454871984650807,0.9913334555255191,0.12159167468085418,0.2199961854440023
E09B-2,2.0,0.0,False,0.0007550208855536766,0.3662851848571784,0.5142714923482792,14.2,21.1,1.8027033751618564,35.3,0.026966285092064255,1.2937996804245433,0.9808645830570173,0.09432377434397686,0.17496359085460894
E09B-3,3.0,0.0,False,0.0008113029097148683,0.3545304401706663,0.5033623871633758,12.3,22.6,1.8530796698286474,34.9,0.028108453006941963,1.4222229755058646,0.9693991854901889,0.09167723067572942,0.16258641243919217
E09B-5,2.5,0.0,False,0.0008591642204555682,0.34023479854019995,0.4821626069394027,13.2,25.7,2.357927615668515,38.9,0.030311513915616154,1.481293272358578,0.9484479350003009,0.10019573939765136,0.1803883486073967
E09B-6,2.0,1.0,False,0.0008199843017609965,0.4037580492029456,0.5600993088357225,10.9,23.6,3.1444502287553906,34.1,0.024782862974157563,1.0218138441734528,0.9798966904803785,0.08308642389346149,0.14488780950410787
E09B-7,2.0,0.0,True,0.0008927344456606079,0.3565128218628354,0.5052596723674838,14.9,23.2,2.0556631040927336,38.1,0.02864196347976892,1.40671699180705,0.9517676102534124,0.10500840778838977,0.19654269964647628
E09B-8,2.0,1.0,True,0.001081442581489682,0.36529846424840495,0.5174800335146817,19.1,33.6,2.7601372551609007,52.3,0.03184248644864952,1.3577162024786409,0.9768833056657408,0.08807358207163833,0.15319986983024178
