experiment,true_mean_body_density,predicted_mean_body_density,density_mae,density_rmse,mean_relative_density_error,density_bias,bias_direction,density_error_gravity_rmse_correlation,relative_density_gravity_relative_l2_correlation
E09B,0.5731468141078949,0.5446452113327065,0.12159167468085418,0.1606619435339863,0.2199961854440023,-0.028501602775188543,underprediction,-0.10614913165484713,0.1921928245401933
E09B-2,0.5731468141078949,0.5676922258258662,0.09432377434397686,0.1211327556247465,0.17496359085460894,-0.005454588282028656,underprediction,-0.021536469608109746,0.30802559837393273
E09B-3,0.5731468141078949,0.5682362437726656,0.09167723067572942,0.1301170199893451,0.16258641243919217,-0.004910570335229276,underprediction,-0.04127655202870394,0.2010062888144607
E09B-5,0.5731468141078949,0.5600210486808547,0.10019573939765136,0.1354398565241686,0.1803883486073967,-0.013125765427040269,underprediction,-0.0052105678639343634,0.2580008365956749
E09B-6,0.5731468141078949,0.5545516348777605,0.08308642389346149,0.110565347871814,0.14488780950410787,-0.018595179230134505,underprediction,-0.01397842359493593,0.4170314876207528
E09B-7,0.5731468141078949,0.5729584024858037,0.10500840778838977,0.13553499255838927,0.19654269964647628,-0.00018841162209118912,underprediction,-0.026288272313603943,0.053975265727241435
E09B-8,0.5731468141078949,0.5586936871510629,0.08807358207163833,0.11804786446841338,0.15319986983024178,-0.014453126956831937,underprediction,-0.09213364464881552,0.10223568013767731
