epoch,density_mae,density_mse,loss,val_density_mae,val_density_mse,val_loss
1,0.11824394017457962,0.05097237601876259,0.05310140922665596,0.04718489199876785,0.01908867061138153,0.0337645523250103
2,0.028283584862947464,0.01200154796242714,0.02743212692439556,0.023431533947587013,0.01041276566684246,0.0303309615701437
3,0.022529371082782745,0.009755037724971771,0.02546802908182144,0.038775600492954254,0.015168914571404457,0.028395097702741623
4,0.02279449626803398,0.00955619290471077,0.024830982089042664,0.03376677632331848,0.014084761030972004,0.029186032712459564
5,0.018656527623534203,0.007953491061925888,0.02384568750858307,0.02674301154911518,0.011719643138349056,0.027030033990740776
6,0.016441790387034416,0.007243203464895487,0.023282967507839203,0.01452567894011736,0.005825524218380451,0.027237355709075928
7,0.014546917751431465,0.006304956506937742,0.022234557196497917,0.012410784140229225,0.005161040462553501,0.02405758947134018
8,0.014990708790719509,0.006446750834584236,0.02229635789990425,0.013639968819916248,0.005925280973315239,0.023501593619585037
9,0.013081011362373829,0.005699012894183397,0.021605420857667923,0.01127827912569046,0.00465472973883152,0.022961562499403954
10,0.012170792557299137,0.005324533674865961,0.021274620667099953,0.007981257513165474,0.003213036572560668,0.023912150412797928
11,0.012981562875211239,0.0057894582860171795,0.021726658567786217,0.01715685799717903,0.00778917595744133,0.02388664335012436
12,0.013898694887757301,0.0057627796195447445,0.02163289301097393,0.009379362687468529,0.0040488457307219505,0.026389695703983307
13,0.012039056047797203,0.005178230814635754,0.0209405105561018,0.010140721686184406,0.004088033922016621,0.021618304774165154
14,0.011300917714834213,0.0048196520656347275,0.020569054409861565,0.01059485599398613,0.004129614215344191,0.022069059312343597
15,0.01188251655548811,0.005227523855865002,0.020832479000091553,0.010235878638923168,0.004483034834265709,0.023283744230866432
16,0.01075415126979351,0.004698154516518116,0.02031903713941574,0.010141228325664997,0.004309296142309904,0.021794889122247696
17,0.010111046954989433,0.00442232983186841,0.01992734894156456,0.00957215391099453,0.003946342039853334,0.021163415163755417
18,0.011204306036233902,0.0047625331208109856,0.020332930609583855,0.013075602240860462,0.005851153749972582,0.022890865802764893
19,0.010317240841686726,0.004468862432986498,0.020139386877417564,0.010898003354668617,0.004526800941675901,0.022475669160485268
20,0.010296429507434368,0.004469830542802811,0.019933858886361122,0.009819055907428265,0.004282583482563496,0.022144902497529984
21,0.009817052632570267,0.004213287960737944,0.019683044403791428,0.009884659200906754,0.0041479384526610374,0.021522941067814827
22,0.009550059214234352,0.004256935324519873,0.01961906999349594,0.010238414630293846,0.004507702775299549,0.022536803036928177
23,0.009191634133458138,0.0039534904062747955,0.01949889026582241,0.010056358762085438,0.004286068491637707,0.022194169461727142
24,0.009596657939255238,0.004206676036119461,0.019309833645820618,0.008596544153988361,0.00370974512770772,0.023262526839971542
25,0.010116352699697018,0.004352346528321505,0.019882170483469963,0.008104032836854458,0.003524924162775278,0.023078391328454018
