epoch,background_mse_component,background_prediction_mean,body_mse_component,body_prediction_mean,density_loss,depth_loss,depth_profile_loss,loss,prediction_fraction_above_1e_4,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,val_background_mse_component,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_density_loss,val_depth_loss,val_depth_profile_loss,val_loss,val_prediction_fraction_above_1e_4,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation,val_z_center_loss,z_center_loss
1,0.03988021984696388,0.10505269467830658,0.052514996379613876,0.582209587097168,0.046197641640901566,0.020018992945551872,0.00782807543873787,0.06621657311916351,0.8798139095306396,0.9906118512153625,0.10742747783660889,0.0,0.17299561202526093,0.009172218851745129,0.035239819437265396,0.044008444994688034,0.6030918955802917,0.02659033052623272,0.015111319720745087,0.006541328504681587,0.04170164465904236,0.735661506652832,0.9906118512153625,0.03825525939464569,0.0,0.09899555891752243,0.008569992147386074,0.012190904468297958
2,0.009430980309844017,0.036492858082056046,0.041260115802288055,0.6345880627632141,0.025345521047711372,0.009973259642720222,0.006628087256103754,0.0353187657892704,0.7867857813835144,0.9445183873176575,0.03946971893310547,0.0,0.09967856854200363,0.009823717176914215,0.037730295211076736,0.03896164521574974,0.6002321243286133,0.024392681196331978,0.008939876221120358,0.006413378287106752,0.033332549035549164,0.7691461443901062,0.9445183873176575,0.040717337280511856,0.0,0.10050517320632935,0.002526498632505536,0.0033451777417212725
3,0.0076374392956495285,0.02794242650270462,0.03906060382723808,0.6336599588394165,0.02334905043244362,0.008142114616930485,0.006169832311570644,0.031491175293922424,0.6253130435943604,0.9850984811782837,0.03095732070505619,0.0,0.09346237778663635,0.004941953346133232,0.018533945083618164,0.04152338206768036,0.5890604257583618,0.02323266677558422,0.007297000382095575,0.006169487722218037,0.03052966669201851,0.5531790256500244,0.9850984811782837,0.021563591435551643,0.0,0.0802973061800003,0.001127512427046895,0.0019722850993275642
4,0.005870399065315723,0.020802553743124008,0.03725264593958855,0.6416648626327515,0.02156154252588749,0.006971143186092377,0.005687377415597439,0.028532683849334717,0.5340281128883362,0.9875748753547668,0.02389276959002018,0.0,0.08613726496696472,0.006441631354391575,0.02097577415406704,0.03151290491223335,0.6597279906272888,0.018977269530296326,0.006802042946219444,0.005763503257185221,0.02577931247651577,0.5173751711845398,0.9875748753547668,0.024367719888687134,0.0,0.09077022224664688,0.0010385375935584307,0.0012837641406804323
5,0.005135408136993647,0.01822485588490963,0.03591008484363556,0.6443752646446228,0.020522762089967728,0.006545016076415777,0.005418318323791027,0.02706773951649666,0.5041873455047607,0.9818772077560425,0.021341398358345032,0.0,0.08259554207324982,0.006380672566592693,0.024472123011946678,0.030700087547302246,0.634041428565979,0.018540380522608757,0.006136362440884113,0.005358976311981678,0.024676742032170296,0.5766077637672424,0.9818772077560425,0.027709096670150757,0.0,0.08830557018518448,0.0007773871766403317,0.0011266962392255664
6,0.0047461120411753654,0.01685606874525547,0.03387828916311264,0.6415374875068665,0.019312191754579544,0.006298375781625509,0.005153493955731392,0.025610564276576042,0.48062124848365784,0.9951379299163818,0.01996530406177044,0.0,0.08048035204410553,0.005458643659949303,0.017107266932725906,0.031814560294151306,0.6817874312400818,0.01863660290837288,0.006099626421928406,0.00526819983497262,0.024736227467656136,0.4782584607601166,0.9951379299163818,0.020636895671486855,0.0,0.08713911473751068,0.0008314273436553776,0.0011448804289102554
7,0.0041015553288161755,0.014523928984999657,0.03209851309657097,0.6435749530792236,0.018100019544363022,0.005980462301522493,0.0050141639076173306,0.024080511182546616,0.4581482410430908,0.9881580471992493,0.01765490509569645,0.0,0.07711493968963623,0.0043812766671180725,0.015352626331150532,0.028810296207666397,0.6709591746330261,0.016595786437392235,0.005859757773578167,0.005051233805716038,0.022455545142292976,0.48406708240509033,0.9881580471992493,0.01883406937122345,0.0,0.0805852860212326,0.000808523443993181,0.0009662894299253821
8,0.003924820106476545,0.014026887714862823,0.03131919726729393,0.6422659158706665,0.017621995881199837,0.005813866388052702,0.004914006683975458,0.02343587763607502,0.4456038475036621,0.9960565567016602,0.017153838649392128,0.0,0.07603465765714645,0.0032878434285521507,0.012630290351808071,0.04130595549941063,0.5938369035720825,0.022296898066997528,0.007858074270188808,0.005451794248074293,0.030154971405863762,0.42007365822792053,0.9960565567016602,0.01571664959192276,0.0,0.07105469703674316,0.0024062786251306534,0.0008998580742627382
9,0.0035897826310247183,0.013057583011686802,0.03055398538708687,0.6421157717704773,0.017071889713406563,0.005525257438421249,0.00472852261736989,0.022597165778279305,0.44105905294418335,0.9956419467926025,0.0161886028945446,0.0,0.07405532151460648,0.004993733949959278,0.014458968304097652,0.029360532760620117,0.7009860873222351,0.01717713288962841,0.005727620329707861,0.004803021438419819,0.02290475182235241,0.3835591673851013,0.9956419467926025,0.018104612827301025,0.0,0.085843026638031,0.0009245995315723121,0.0007967336568981409
10,0.003483134089037776,0.012682044878602028,0.029212718829512596,0.6413698792457581,0.016347935423254967,0.0054153017699718475,0.004630733747035265,0.021763235330581665,0.4176703989505768,0.9923208355903625,0.015811212360858917,0.0,0.07345187664031982,0.004304165951907635,0.015606457367539406,0.02837587520480156,0.6765024662017822,0.016340021044015884,0.005648374557495117,0.004960903897881508,0.02198839746415615,0.45750680565834045,0.9923208355903625,0.0191159900277853,0.0,0.08047904819250107,0.0006874703685753047,0.0007845659274607897
