epoch,background_mse_component,background_prediction_mean,body_mse_component,body_prediction_mean,density_mae,density_mse,loss,prediction_fraction_above_1e_4,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,val_background_mse_component,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_density_mae,val_density_mse,val_loss,val_prediction_fraction_above_1e_4,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation
1,0.02508414164185524,0.0581313781440258,0.0466182678937912,0.622109055519104,0.05869515985250473,0.025152133777737617,0.035851191729307175,0.6987730860710144,0.9999998807907104,0.060938481241464615,0.0,0.15248870849609375,0.015997884795069695,0.032445136457681656,0.0380428172647953,0.6500358581542969,0.0331161729991436,0.016093648970127106,0.027020350098609924,0.5045679807662964,0.9880828261375427,0.035724710673093796,0.0,0.130186066031456
2,0.012731466442346573,0.026394864544272423,0.0415918231010437,0.6291401386260986,0.027078818529844284,0.012846984900534153,0.02716163545846939,0.40431010723114014,0.9997323751449585,0.029394935816526413,0.0,0.11774010211229324,0.012075237929821014,0.022845730185508728,0.03546085208654404,0.6415606141090393,0.023534419015049934,0.012184602208435535,0.023768045008182526,0.23728607594966888,0.9924542903900146,0.026131272315979004,0.0,0.1167297437787056
3,0.011235930025577545,0.022575750946998596,0.04070105403661728,0.6344437003135681,0.02327878400683403,0.011362257413566113,0.025968480855226517,0.25488123297691345,0.9996811151504517,0.025621207430958748,0.0,0.11231822520494461,0.008043342269957066,0.016330188140273094,0.044938910752534866,0.5763623118400574,0.01711501181125641,0.008200937882065773,0.02649112045764923,0.19394724071025848,0.9655977487564087,0.01930410787463188,0.0,0.09765130281448364
4,0.010447485372424126,0.02112174592912197,0.039513155817985535,0.6333237886428833,0.021822478622198105,0.01057387888431549,0.024980317801237106,0.2819349467754364,0.9990874528884888,0.024168817326426506,0.0,0.10905398428440094,0.01022801361978054,0.024784710258245468,0.04137082397937775,0.604762613773346,0.02552238292992115,0.010375681333243847,0.025799425318837166,0.4926742613315582,0.9716221690177917,0.027864547446370125,0.0,0.10685141384601593
5,0.009494530968368053,0.019214292988181114,0.03814176842570305,0.633521318435669,0.019902294501662254,0.009617511183023453,0.02381815016269684,0.24709661304950714,0.998761773109436,0.022271882742643356,0.0,0.10504714399576187,0.009994680061936378,0.018468454480171204,0.03059912472963333,0.6746945977210999,0.019142424687743187,0.010107402689754963,0.020296907052397728,0.15501078963279724,0.9728603363037109,0.021953187882900238,0.0,0.10938209295272827
6,0.008940833620727062,0.01769641600549221,0.03726880997419357,0.6365628242492676,0.018385818228125572,0.009065062738955021,0.023104798048734665,0.19868379831314087,0.9976544380187988,0.02077670581638813,0.0,0.10283029824495316,0.007093208376318216,0.014950787648558617,0.038063645362854004,0.579468309879303,0.015708081424236298,0.007235069293528795,0.02257842756807804,0.12267913669347763,0.893403947353363,0.01794852688908577,0.0,0.09263075143098831
7,0.008616606704890728,0.017278475686907768,0.03636965528130531,0.6361147165298462,0.01796378381550312,0.008740213699638844,0.02249312400817871,0.20841450989246368,0.9968294501304626,0.02035859227180481,0.0,0.10133583098649979,0.010620261542499065,0.021079985424876213,0.031680408865213394,0.67613685131073,0.021748710423707962,0.010725609958171844,0.021150339394807816,0.26492705941200256,0.9562913775444031,0.02455850876867771,0.0,0.1116161048412323
8,0.007916685193777084,0.015767160803079605,0.034913673996925354,0.6392336487770081,0.016444826498627663,0.00803821999579668,0.021415185183286667,0.15346559882164001,0.9988315105438232,0.018870338797569275,0.0,0.09825144708156586,0.007443047594279051,0.016784003004431725,0.0336284264922142,0.6226751208305359,0.017477089539170265,0.0075672827661037445,0.02053574100136757,0.2143275886774063,0.9519829750061035,0.020001444965600967,0.0,0.09560107439756393
9,0.007723864167928696,0.015399531461298466,0.034471895545721054,0.6369538307189941,0.016067633405327797,0.007843009196221828,0.02109788917005062,0.13146281242370605,0.9974384307861328,0.018493184819817543,0.0,0.09728525578975677,0.007342889904975891,0.014424637891352177,0.032283030450344086,0.6398426294326782,0.0151230962947011,0.007462895009666681,0.01981296017765999,0.0943223088979721,0.9539787769317627,0.017745770514011383,0.0,0.09616666287183762
10,0.007612987887114286,0.014914494939148426,0.03382851928472519,0.6381976008415222,0.015578515827655792,0.007729106117039919,0.02072075568139553,0.1140868291258812,0.9972283244132996,0.018016774207353592,0.0,0.09684984385967255,0.004989772103726864,0.01089503988623619,0.036598045378923416,0.5824013352394104,0.011665224097669125,0.00514731090515852,0.020793912932276726,0.09663024544715881,0.8831908106803894,0.013929888606071472,0.0,0.08155351877212524
