epoch,background_mse_component,background_prediction_mean,body_mse_component,body_prediction_mean,density_loss,depth_loss,depth_profile_loss,loss,prediction_fraction_above_1e_4,prediction_maximum,prediction_mean,prediction_minimum,prediction_standard_deviation,sensitivity_loss,val_background_mse_component,val_background_prediction_mean,val_body_mse_component,val_body_prediction_mean,val_density_loss,val_depth_loss,val_depth_profile_loss,val_loss,val_prediction_fraction_above_1e_4,val_prediction_maximum,val_prediction_mean,val_prediction_minimum,val_prediction_standard_deviation,val_sensitivity_loss,val_z_center_loss,z_center_loss
1,0.047753531485795975,0.09763958305120468,0.06640484929084778,0.4961364269256592,0.05707917734980583,0.020068343728780746,0.009316900745034218,0.14393281936645508,0.6535564661026001,0.8615390062332153,0.09962310642004013,0.0,0.1970769464969635,0.04671705141663551,0.005445542745292187,0.01963694579899311,0.0739930123090744,0.46267661452293396,0.03971928730607033,0.011506233364343643,0.00718986289575696,0.06723420321941376,0.3449859619140625,0.8615390062332153,0.021989606320858,0.0,0.07823219895362854,0.00450245663523674,0.004316371399909258,0.010751434601843357
2,0.005038043949753046,0.015118882991373539,0.04627908766269684,0.6141330599784851,0.025658586993813515,0.007751238998025656,0.005805479362607002,0.0453636534512043,0.2612289488315582,0.9806041717529297,0.018100332468748093,0.0,0.08163194358348846,0.004202644340693951,0.003508280497044325,0.010554585605859756,0.038962651044130325,0.6193361282348633,0.02123546600341797,0.006191140040755272,0.0048505160957574844,0.03673776239156723,0.23565419018268585,0.9806041717529297,0.013787375763058662,0.0,0.0736350417137146,0.0031200179364532232,0.0013406230136752129,0.0019457575399428606
3,0.002649323781952262,0.007467622868716717,0.03944381698966026,0.6374854445457458,0.02104656957089901,0.005353634711354971,0.004245254211127758,0.03406737744808197,0.1759573519229889,0.9703550934791565,0.01060342974960804,0.0,0.06827981770038605,0.002313555683940649,0.0018114707199856639,0.006281915586441755,0.04335569217801094,0.5704626441001892,0.02258358523249626,0.005629945546388626,0.004689591005444527,0.03551892191171646,0.16972534358501434,0.9703550934791565,0.009277863427996635,0.0,0.05997511371970177,0.0016754469834268093,0.0009403553558513522,0.0011083785211667418
4,0.0023033604957163334,0.0062835668213665485,0.037740882486104965,0.6420944929122925,0.020022111013531685,0.004432166460901499,0.003702108282595873,0.03091147355735302,0.12149012088775635,0.9767284393310547,0.009448193944990635,0.0,0.06618765741586685,0.002025018213316798,0.002597198588773608,0.006356924306601286,0.031185582280158997,0.6757706999778748,0.016891390085220337,0.004238532856106758,0.0037667816504836082,0.027612200006842613,0.09747141599655151,0.9767284393310547,0.00991168711334467,0.0,0.07083234190940857,0.0022437479346990585,0.00047175161307677627,0.0007300577708519995
5,0.001955190673470497,0.005291309207677841,0.03586094081401825,0.6421461701393127,0.0189080648124218,0.004071347881108522,0.0034465398639440536,0.028779933229088783,0.09880971163511276,0.9488275647163391,0.008461124263703823,0.0,0.06369535624980927,0.0017291862750425935,0.0022602085955441,0.006134052760899067,0.02739557810127735,0.6332177519798279,0.014827894046902657,0.0037202774547040462,0.003271442838013172,0.024316120892763138,0.10472992062568665,0.9488275647163391,0.009464033879339695,0.0,0.06612551212310791,0.0020476682111620903,0.00044883519876748323,0.0006248082499951124
6,0.0018621485214680433,0.005029808264225721,0.03410999849438667,0.6410855650901794,0.01798606663942337,0.003703066147863865,0.0032148160971701145,0.027038922533392906,0.09020759165287018,0.9946639537811279,0.008195658214390278,0.0,0.06302259117364883,0.001646730350330472,0.0020759645849466324,0.00503503205254674,0.03046976588666439,0.6864629983901978,0.01627286709845066,0.0034350925125181675,0.0030400692485272884,0.025013666599988937,0.07568532228469849,0.9946639537811279,0.008653593249619007,0.0,0.06810249388217926,0.001870611566118896,0.0003950234386138618,0.0004882514476776123
7,0.001724970294162631,0.004643334075808525,0.03257659450173378,0.6383744478225708,0.01715078018605709,0.003416461171582341,0.0029894059989601374,0.025507479906082153,0.07847568392753601,0.9901515245437622,0.00779761141166091,0.0,0.06192207336425781,0.001523792278021574,0.001854877918958664,0.004881536588072777,0.027714958414435387,0.6604605317115784,0.014784915372729301,0.0034125426318496466,0.002921310719102621,0.02331581525504589,0.07985147833824158,0.9901515245437622,0.00836283341050148,0.0,0.06504269689321518,0.0017058145022019744,0.0004912318545393646,0.00042705610394477844
8,0.0016235640505328774,0.004376193042844534,0.031045645475387573,0.6370657682418823,0.016334621235728264,0.0033361271489411592,0.002915832679718733,0.024441814050078392,0.07335177809000015,0.9936030507087708,0.007525285240262747,0.0,0.061131641268730164,0.001434988691471517,0.0013978697825223207,0.003706283401697874,0.03430285304784775,0.6371179819107056,0.017850361764431,0.0032304502092301846,0.0029004565440118313,0.0255887508392334,0.05788767337799072,0.9936030507087708,0.007069864310324192,0.0,0.06058743596076965,0.0012774947099387646,0.00032999366521835327,0.00042029432370327413
9,0.0015433504013344646,0.0042084138840436935,0.030909711495041847,0.6375848054885864,0.016226544976234436,0.0031776889227330685,0.0028161846566945314,0.023952677845954895,0.06889365613460541,0.983044445514679,0.007360928226262331,0.0,0.06054873391985893,0.0013707723701372743,0.002231348305940628,0.00557781383395195,0.026677275076508522,0.670060396194458,0.014454310759902,0.0035248049534857273,0.0031723007559776306,0.02353687956929207,0.07453572750091553,0.983044445514679,0.009106389246881008,0.0,0.06813392788171768,0.0020329593680799007,0.00035250524524599314,0.00036150700179859996
10,0.0014842910459265113,0.004007593262940645,0.030114462599158287,0.6366263628005981,0.015799369663000107,0.003165647853165865,0.0027936892583966255,0.02344796061515808,0.06354018300771713,0.9855769276618958,0.007156324572861195,0.0,0.060079947113990784,0.001317267189733684,0.001763607724569738,0.004774969071149826,0.02747267670929432,0.6646513938903809,0.014618144370615482,0.0029071327298879623,0.0026469132862985134,0.021980250254273415,0.07390106469392776,0.9855769276618958,0.008279085159301758,0.0,0.06476091593503952,0.0015478451969102025,0.00026021941448561847,0.00037196234916336834
