epoch,density_mae,density_mse,loss,val_density_mae,val_density_mse,val_loss
1,0.1225816085934639,0.05176329240202904,0.05639677122235298,0.04415234178304672,0.019287195056676865,0.04082174599170685
2,0.04008534550666809,0.01702107861638069,0.03165718540549278,0.028032369911670685,0.011952763423323631,0.03300052508711815
3,0.026252808049321175,0.01218314841389656,0.02742900885641575,0.03650446608662605,0.01737920381128788,0.030271805822849274
4,0.029230915009975433,0.013299158774316311,0.028329122811555862,0.02392115443944931,0.011283302679657936,0.02815423160791397
5,0.022386454045772552,0.010399681515991688,0.025911444798111916,0.033922918140888214,0.01343616284430027,0.027457064017653465
6,0.0229291170835495,0.010564136318862438,0.02595774084329605,0.01978028193116188,0.008109048940241337,0.03061169944703579
7,0.020588815212249756,0.009432975202798843,0.025207092985510826,0.01168852485716343,0.004952162504196167,0.028083160519599915
8,0.018112169578671455,0.007991409860551357,0.02456040121614933,0.012145396322011948,0.005187076982110739,0.03185155242681503
9,0.019217373803257942,0.008572203107178211,0.024477286264300346,0.019632944837212563,0.00808315072208643,0.02480674348771572
10,0.024855144321918488,0.011261316947638988,0.027624549344182014,0.015284236520528793,0.005923361983150244,0.03335648402571678
11,0.01764773391187191,0.007995818741619587,0.023695288226008415,0.016713976860046387,0.007421762216836214,0.024392304942011833
12,0.01635896787047386,0.00728041073307395,0.024117715656757355,0.013238241896033287,0.0058629997074604034,0.023771896958351135
13,0.015919560566544533,0.007060030475258827,0.023286590352654457,0.012524315156042576,0.005776488222181797,0.022862935438752174
14,0.015326792374253273,0.006813972722738981,0.023177919909358025,0.015082068741321564,0.00575609877705574,0.024643423035740852
15,0.01544830109924078,0.006790926679968834,0.02300950139760971,0.016762908548116684,0.00789563823491335,0.026039985939860344
16,0.014222471974790096,0.006130237597972155,0.02262190356850624,0.0171778816729784,0.008232486434280872,0.024021651595830917
17,0.015035850927233696,0.006830046884715557,0.022768963128328323,0.011668679304420948,0.005401179660111666,0.023979151621460915
18,0.012870409525930882,0.005666728597134352,0.022030651569366455,0.015821687877178192,0.007318064570426941,0.02383410930633545
19,0.01281080860644579,0.005635182373225689,0.021814337000250816,0.014015228487551212,0.006059322506189346,0.023757874965667725
20,0.012716320343315601,0.005554648581892252,0.021837811917066574,0.011407957412302494,0.0051903920248150826,0.021798593923449516
21,0.0150311179459095,0.006410532630980015,0.02269868366420269,0.013755916617810726,0.006646750960499048,0.024848153814673424
22,0.012206295505166054,0.005565309897065163,0.021876459941267967,0.014326266013085842,0.005932568106800318,0.02269335463643074
23,0.012162254191935062,0.005279517266899347,0.021905479952692986,0.015281271189451218,0.005944990552961826,0.02411738596856594
24,0.012634864076972008,0.005450036376714706,0.021062487736344337,0.008866476826369762,0.0035996062215417624,0.023471269756555557
25,0.011549326591193676,0.005245081149041653,0.021522879600524902,0.008479651995003223,0.0036590411327779293,0.024825111031532288
26,0.010601618327200413,0.004727446008473635,0.02078000269830227,0.009098805487155914,0.004493973217904568,0.023660844191908836
27,0.012527351267635822,0.0054483176209032536,0.021754398941993713,0.01154163759201765,0.004851890727877617,0.02382667362689972
28,0.012117752805352211,0.005250995047390461,0.021148113533854485,0.012848076410591602,0.004313070327043533,0.022890007123351097
